"Id","Status","Path","Ex","SF","SynFalse","SynTrue","Real","Dup"
"PolicyCombiningAlgorithm","NEEDS","safety-permission-policy\PolicySpecification\PolicyCombiningAlgorithm\node.yaml","3","2","2","0","True","1"
"PolicyEvaluation","NEEDS","safety-permission-policy\PolicyEvaluation\node.yaml","3","4","4","0","True","2"
"PolicyDecision","NEEDS","safety-permission-policy\PolicyDecision\node.yaml","3","4","4","0","True","2"
"AllowDecision","NEEDS","safety-permission-policy\PolicyDecision\AllowDecision\node.yaml","3","4","4","0","True","2"
"DenyDecision","NEEDS","safety-permission-policy\PolicyDecision\DenyDecision\node.yaml","3","4","4","0","True","2"
"AuthorizationRequest","NEEDS","safety-permission-policy\AuthorizationRequest\node.yaml","3","4","4","0","True","2"
"AuthorizationEvent","NEEDS","safety-permission-policy\AuthorizationEvent\node.yaml","3","2","2","0","True","1"
"AuthorizationRevocation","NEEDS","safety-permission-policy\AuthorizationEvent\AuthorizationRevocation\node.yaml","3","2","2","0","True","1"
"AuthorizationCredential","NEEDS","safety-permission-policy\AuthorizationCredential\node.yaml","3","4","4","0","True","1"
"CapabilityCredential","NEEDS","safety-permission-policy\AuthorizationCredential\CapabilityCredential\node.yaml","3","4","4","0","True","1"
"HumanApproval","NEEDS","safety-permission-policy\HumanApproval\node.yaml","3","4","4","0","True","2"
"ManualReviewRequired","NEEDS","safety-permission-policy\ManualReviewRequired\node.yaml","3","4","4","0","True","1"
"ToolApprovalRequirement","NEEDS","safety-permission-policy\ToolApprovalRequirement\node.yaml","3","4","4","0","True","1"
"PermissionPrompt","NEEDS","safety-permission-policy\PermissionPrompt\node.yaml","3","2","2","0","True","1"
"PermissionResponse","NEEDS","safety-permission-policy\PermissionResponse\node.yaml","3","2","2","0","True","1"
"PermissionScope","NEEDS","safety-permission-policy\PermissionScope\node.yaml","3","2","2","0","True","1"
"safety-sandbox-isolation","NEEDS","safety-sandbox-isolation\node.yaml","0","4","4","0","True","1"
"IsolationSpecification","NEEDS","safety-sandbox-isolation\IsolationSpecification\node.yaml","0","4","4","0","True","2"
"Sandbox","NEEDS","safety-sandbox-isolation\Sandbox\node.yaml","0","4","4","0","True","2"
"FilesystemPolicy","NEEDS","safety-sandbox-isolation\IsolationSpecification\FilesystemPolicy\node.yaml","0","4","4","0","True","2"
"ProcessPolicy","NEEDS","safety-sandbox-isolation\IsolationSpecification\ProcessPolicy\node.yaml","0","4","4","0","True","2"
"SandboxEscapeRisk","NEEDS","safety-sandbox-isolation\SandboxEscapeRisk\node.yaml","0","4","4","0","True","2"
"safety-trust-boundary","NEEDS","safety-trust-boundary\node.yaml","4","2","2","0","True","1"
"TrustZone","NEEDS","safety-trust-boundary\TrustZone\node.yaml","0","4","4","0","True","1"
"TrustBoundary","NEEDS","safety-trust-boundary\TrustBoundary\node.yaml","3","2","2","0","True","1"
"InternalTrustBoundary","NEEDS","safety-trust-boundary\TrustBoundary\InternalTrustBoundary\node.yaml","0","4","4","0","True","1"
"ExternalTrustBoundary","NEEDS","safety-trust-boundary\TrustBoundary\ExternalTrustBoundary\node.yaml","0","4","4","0","True","1"
"BoundaryCrossing","NEEDS","safety-trust-boundary\TrustBoundary\BoundaryCrossing\node.yaml","2","2","0","2","True","2"
"safety-disclosure-redaction","NEEDS","safety-disclosure-redaction\node.yaml","4","2","2","0","True","1"
"DisclosureSpecification","NEEDS","safety-disclosure-redaction\DisclosureSpecification\node.yaml","3","1","1","0","True","1"
"DisclosureRule","NEEDS","safety-disclosure-redaction\DisclosureSpecification\DisclosureRule\node.yaml","3","1","1","0","True","1"
"RedactionRule","NEEDS","safety-disclosure-redaction\DisclosureSpecification\DisclosureRule\RedactionRule\node.yaml","3","1","1","0","True","1"
"DisclosureControlActivity","NEEDS","safety-disclosure-redaction\DisclosureControlActivity\node.yaml","3","1","1","0","True","1"
"Redaction","NEEDS","safety-disclosure-redaction\DisclosureControlActivity\Redaction\node.yaml","3","1","1","0","True","1"
"DisclosureFilter","NEEDS","safety-disclosure-redaction\DisclosureControlActivity\DisclosureFilter\node.yaml","3","1","1","0","True","1"
"StagedDisclosure","NEEDS","safety-disclosure-redaction\DisclosureControlActivity\StagedDisclosure\node.yaml","0","4","4","0","True","1"
"SensitiveSpan","NEEDS","safety-disclosure-redaction\SensitiveSpan\node.yaml","3","1","1","0","True","1"
"safety-network-control","NEEDS","safety-network-control\node.yaml","4","2","2","0","True","1"
"NetworkPolicy","NEEDS","safety-network-control\NetworkPolicy\node.yaml","3","2","2","0","True","1"
"NetworkEndpoint","NEEDS","safety-network-control\NetworkEndpoint\node.yaml","3","2","2","0","True","1"
"Proxy","NEEDS","safety-network-control\NetworkEndpoint\Proxy\node.yaml","3","2","2","0","True","1"
"HTTPProxy","NEEDS","safety-network-control\NetworkEndpoint\Proxy\HTTPProxy\node.yaml","3","2","2","0","False","1"
"SOCKSProxy","NEEDS","safety-network-control\NetworkEndpoint\Proxy\SOCKSProxy\node.yaml","3","2","2","0","False","1"
"NetworkRoute","NEEDS","safety-network-control\NetworkRoute\node.yaml","0","4","4","0","False","2"
"ProxyRoute","NEEDS","safety-network-control\NetworkRoute\ProxyRoute\node.yaml","0","4","4","0","False","2"
"NetworkMessage","NEEDS","safety-network-control\NetworkMessage\node.yaml","0","4","4","0","True","2"
"OutboundRequest","NEEDS","safety-network-control\NetworkMessage\OutboundRequest\node.yaml","0","4","4","0","True","2"
"InboundResponse","NEEDS","safety-network-control\NetworkMessage\InboundResponse\node.yaml","0","4","4","0","True","2"
"NetworkInteraction","NEEDS","safety-network-control\NetworkInteraction\node.yaml","3","2","2","0","True","1"
"NetworkCall","NEEDS","safety-network-control\NetworkInteraction\NetworkCall\node.yaml","3","2","2","0","True","1"
"safety-tool-approval-execution","NEEDS","safety-tool-approval-execution\node.yaml","0","4","4","0","True","1"
"ToolApprovalGate","NEEDS","safety-tool-approval-execution\ToolApprovalGate\node.yaml","3","4","4","0","True","2"
"PendingToolCall","NEEDS","safety-tool-approval-execution\PendingToolCall\node.yaml","0","4","4","0","True","1"
"ApprovalDecision","NEEDS","safety-tool-approval-execution\ApprovalDecision\node.yaml","0","4","4","0","True","1"
"RejectionDecision","NEEDS","safety-tool-approval-execution\RejectionDecision\node.yaml","0","4","4","0","True","1"
"SideEffect","NEEDS","safety-tool-approval-execution\SideEffect\node.yaml","0","4","4","0","True","2"
"ToolResultRecord","NEEDS","safety-tool-approval-execution\ToolResultRecord\node.yaml","0","4","4","0","True","1"
