"id","area","source_type","priority","schema_impact","url","pre_status","post_status","normalized_class","normalized_version_or_date","normalization_basis","note"
"eng-bench-tau","benchmark","repo","A","field-schema-or-adapter-contract","https://github.com/sierra-research/tau-bench","previously_unverified","normalized","living-repo","GitHub sierra-research/tau-bench main@59a200c6d575; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-bench-terminal","benchmark","repo","A","field-schema-or-adapter-contract","https://github.com/harbor-framework/terminal-bench","previously_unverified","normalized","living-repo","GitHub harbor-framework/terminal-bench main@1a6ffa9674b5; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-bench-terminal-21","benchmark","repo","A","field-schema-or-adapter-contract","https://github.com/harbor-framework/terminal-bench-2-1","previously_unverified","normalized","living-repo","GitHub harbor-framework/terminal-bench-2-1 main@c5ee500c1852; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-bench-visualagentbench","benchmark","repo","B","field-schema-or-adapter-contract","https://github.com/THUDM/VisualAgentBench","previously_unverified","normalized","living-repo","GitHub THUDM/VisualAgentBench main@9055fc299c36; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-bench-visualwebarena","benchmark","project","A","field-schema-or-adapter-contract","https://jykoh.com/vwa","previously_unverified","normalized","living-project-site","VisualWebArena project site; checked 2026-06-30","official-doc-url-normalization","Project site is versionless; benchmark adapter should pin dataset/repo separately if normative."
"eng-bench-webarena","benchmark","project","A","field-schema-or-adapter-contract","https://webarena.dev","previously_unverified","normalized","living-project-site","WebArena project site; checked 2026-06-30","official-doc-url-normalization","Project site is versionless; benchmark adapter should pin dataset/repo separately if normative."
"eng-bench-webvoyager","benchmark","repo","B","field-schema-or-adapter-contract","https://github.com/MinorJerry/WebVoyager","previously_unverified","normalized","living-repo","GitHub MinorJerry/WebVoyager main@5a7896738c10; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-bench-workarena","benchmark","repo","B","field-schema-or-adapter-contract","https://github.com/ServiceNow/WorkArena","previously_unverified","normalized","living-repo","GitHub ServiceNow/WorkArena main@a772230a94cf; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-agent-browser-use-bench","browser-agent","repo","B","adjacent-agent-schema-evidence","https://github.com/browser-use/benchmark","previously_unverified","normalized","living-repo","GitHub browser-use/benchmark main@dff86d1a3213; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-agent-browser-use-docs","browser-agent","official-doc","A","adjacent-agent-schema-evidence","https://docs.browser-use.com/open-source/introduction","previously_unverified","normalized","living-doc","browser-use docs current; checked 2026-06-30","official-doc-url-normalization","Official browser-use docs are versionless living docs; cite with last_checked date."
"eng-agent-browser-use-repo","browser-agent","repo","A","adjacent-agent-schema-evidence","https://github.com/browser-use/browser-use","previously_unverified","normalized","living-repo","GitHub browser-use/browser-use main@2454d3e25517; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-agent-browser-use-webui","browser-agent","repo","B","adjacent-agent-schema-evidence","https://github.com/browser-use/web-ui","previously_unverified","normalized","living-repo","GitHub browser-use/web-ui main@61962296c38a; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-agent-midscene","browser-agent","repo","B","adjacent-agent-schema-evidence","https://github.com/web-infra-dev/Midscene","previously_unverified","normalized","living-repo","GitHub web-infra-dev/Midscene main@937ce787a177; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-agent-stagehand","browser-agent","repo","B","adjacent-agent-schema-evidence","https://github.com/browserbase/stagehand","previously_unverified","normalized","living-repo","GitHub browserbase/stagehand main@871ca7e305f4; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-agent-tangle-browser-driver","browser-agent","repo","C","adjacent-agent-schema-evidence","https://github.com/tangle-network/agent-browser-driver","previously_unverified","normalized","living-repo","GitHub tangle-network/agent-browser-driver main@a2055b2e7a7e; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-agent-weboperator","browser-agent","repo","B","adjacent-agent-schema-evidence","https://github.com/kagnlp/WebOperator","previously_unverified","normalized","living-repo","GitHub kagnlp/WebOperator main@36a88e0da5f4; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-agent-playwright-mcp","browser-tooling","repo","A","adjacent-agent-schema-evidence","https://github.com/microsoft/playwright-mcp","previously_unverified","normalized","living-repo","GitHub microsoft/playwright-mcp main@36ec986b8b1f; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-code-aider","coding-agent","repo","B","adjacent-agent-schema-evidence","https://github.com/Aider-AI/aider","previously_unverified","normalized","living-repo","GitHub Aider-AI/aider main@5dc9490bb35f; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-code-cline","coding-agent","repo","B","adjacent-agent-schema-evidence","https://github.com/cline/cline","previously_unverified","normalized","living-repo","GitHub cline/cline main@dbe15202e1b7; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-code-continue","coding-agent","repo","B","adjacent-agent-schema-evidence","https://github.com/continuedev/continue","previously_unverified","normalized","living-repo","GitHub continuedev/continue main@d0a3c0b626b5; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-code-mini-swe-agent","coding-agent","repo","A","adjacent-agent-schema-evidence","https://github.com/SWE-agent/mini-swe-agent","previously_unverified","normalized","living-repo","GitHub SWE-agent/mini-swe-agent main@408a133f68c3; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-code-openhands-docs","coding-agent","official-doc","A","adjacent-agent-schema-evidence","https://docs.openhands.dev/","previously_unverified","normalized","living-doc","OpenHands docs current; checked 2026-06-30","official-doc-url-normalization","Official OpenHands docs are versionless living docs; cite with last_checked date."
"eng-code-openhands-repo","coding-agent","repo","A","adjacent-agent-schema-evidence","https://github.com/OpenHands/OpenHands","previously_unverified","normalized","living-repo","GitHub OpenHands/OpenHands main@0571ff530fa6; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-code-openhands-sdk","coding-agent","repo","A","adjacent-agent-schema-evidence","https://github.com/OpenHands/software-agent-sdk","previously_unverified","normalized","living-repo","GitHub OpenHands/software-agent-sdk main@c36854513b17; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-code-roo","coding-agent","repo","B","adjacent-agent-schema-evidence","https://github.com/RooVetGit/Roo-Code","previously_unverified","normalized","living-repo","GitHub RooVetGit/Roo-Code main@b867ec914575; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-code-swe-agent-repo","coding-agent","repo","A","adjacent-agent-schema-evidence","https://github.com/SWE-agent/SWE-agent","previously_unverified","normalized","living-repo","GitHub SWE-agent/SWE-agent main@088b5f1c18bf; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-agent-cua","computer-use","repo","B","adjacent-agent-schema-evidence","https://github.com/trycua/cua","previously_unverified","normalized","living-repo","GitHub trycua/cua main@7468487d3034; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-fw-google-adk-docs-repo","docs","repo","A","adjacent-agent-schema-evidence","https://github.com/google/adk-docs","previously_unverified","normalized","living-repo","GitHub google/adk-docs main@62cca62a092d; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-fw-agenticx","framework","repo","C","field-schema-or-adapter-contract","https://github.com/clawbundle/AgenticX","previously_unverified","normalized","living-repo","GitHub clawbundle/AgenticX main@546872d97d0d; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-fw-agno-docs","framework","official-doc","B","field-schema-or-adapter-contract","https://docs.agno.com/","previously_unverified","normalized","living-doc","Agno docs current; checked 2026-06-30","official-doc-url-normalization","Official Agno docs are versionless living docs; cite with last_checked date."
"eng-fw-agno-repo","framework","repo","B","field-schema-or-adapter-contract","https://github.com/agno-agi/agno","previously_unverified","normalized","living-repo","GitHub agno-agi/agno main@695ff9f9ca28; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-fw-autogen-agentchat","framework","official-doc","A","field-schema-or-adapter-contract","https://microsoft.github.io/autogen/stable/user-guide/agentchat-user-guide/index.html","previously_unverified","normalized","living-doc","AutoGen stable docs; checked 2026-06-30","official-doc-url-normalization","Official AutoGen stable documentation path; cite with last_checked date."
"eng-fw-autogen-core","framework","official-doc","B","field-schema-or-adapter-contract","https://microsoft.github.io/autogen/stable/user-guide/core-user-guide/index.html","previously_unverified","normalized","living-doc","AutoGen stable docs; checked 2026-06-30","official-doc-url-normalization","Official AutoGen stable documentation path; cite with last_checked date."
"eng-fw-autogen-docs","framework","official-doc","A","field-schema-or-adapter-contract","https://microsoft.github.io/autogen/","previously_unverified","normalized","living-doc","AutoGen docs root; checked 2026-06-30","official-doc-url-normalization","Official AutoGen documentation root is a living page; cite with last_checked date."
"eng-fw-autogen-repo","framework","repo","A","field-schema-or-adapter-contract","https://github.com/microsoft/autogen","previously_unverified","normalized","living-repo","GitHub microsoft/autogen main@027ecf0a379b; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-fw-beeai-docs","framework","official-doc","B","field-schema-or-adapter-contract","https://i-am-bee.github.io/beeai-framework/","previously_unverified","normalized","living-doc","BeeAI Framework docs current; checked 2026-06-30","official-doc-url-normalization","Official BeeAI Framework docs are versionless living docs; cite with last_checked date."
"eng-fw-beeai-repo","framework","repo","B","field-schema-or-adapter-contract","https://github.com/i-am-bee/beeai-framework","previously_unverified","normalized","living-repo","GitHub i-am-bee/beeai-framework main@7e8c73a1fb21; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-fw-crewai-agents","framework","official-doc","A","field-schema-or-adapter-contract","https://docs.crewai.com/concepts/agents","previously_unverified","normalized","living-doc","CrewAI current docs; checked 2026-06-30","official-doc-url-normalization","Official CrewAI docs are versionless living docs; cite with last_checked date."
"eng-fw-crewai-docs","framework","official-doc","A","field-schema-or-adapter-contract","https://docs.crewai.com/","previously_unverified","normalized","living-doc","CrewAI current docs; checked 2026-06-30","official-doc-url-normalization","Official CrewAI docs are versionless living docs; cite with last_checked date."
"eng-fw-crewai-flows","framework","official-doc","A","field-schema-or-adapter-contract","https://docs.crewai.com/concepts/flows","previously_unverified","normalized","living-doc","CrewAI current docs; checked 2026-06-30","official-doc-url-normalization","Official CrewAI docs are versionless living docs; cite with last_checked date."
"eng-fw-crewai-processes","framework","official-doc","B","field-schema-or-adapter-contract","https://docs.crewai.com/concepts/processes","previously_unverified","normalized","living-doc","CrewAI current docs; checked 2026-06-30","official-doc-url-normalization","Official CrewAI docs are versionless living docs; cite with last_checked date."
"eng-fw-crewai-repo","framework","repo","A","field-schema-or-adapter-contract","https://github.com/crewAIInc/crewAI","previously_unverified","normalized","living-repo","GitHub crewAIInc/crewAI main@e8dced8a2d53; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-fw-crewai-tasks","framework","official-doc","A","field-schema-or-adapter-contract","https://docs.crewai.com/concepts/tasks","previously_unverified","normalized","living-doc","CrewAI current docs; checked 2026-06-30","official-doc-url-normalization","Official CrewAI docs are versionless living docs; cite with last_checked date."
"eng-fw-dspy-docs","framework","official-doc","A","field-schema-or-adapter-contract","https://dspy.ai/","previously_unverified","normalized","living-doc","DSPy current docs; checked 2026-06-30","official-doc-url-normalization","Official DSPy docs are versionless living docs; cite with last_checked date."
"eng-fw-dspy-repo","framework","repo","B","field-schema-or-adapter-contract","https://github.com/stanfordnlp/dspy","previously_unverified","normalized","living-repo","GitHub stanfordnlp/dspy main@498760149b23; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-fw-google-adk-a2a-example","framework","official-blog","B","field-schema-or-adapter-contract","https://developers.googleblog.com/build-cross-language-multi-agent-team-with-google-agent-development-kit-and-a2a/","previously_unverified","normalized","living-doc","Google Developers Blog, 2026-06-22; checked 2026-06-30","official-version-map","Official Google Developers Blog article date verified; use only as adapter example evidence, not protocol normative source."
"eng-fw-google-adk-docs","framework","official-doc","A","field-schema-or-adapter-contract","https://google.github.io/adk-docs/","previously_unverified","normalized","living-doc","Google ADK docs current; checked 2026-06-30","official-doc-url-normalization","Official Google ADK docs are versionless living docs; cite with last_checked date."
"eng-fw-google-adk-repo","framework","repo","A","field-schema-or-adapter-contract","https://github.com/google/adk-python/","previously_unverified","normalized","living-repo","GitHub google/adk-python main@46dadbeb1f83; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-fw-google-adk-ts","framework","official-doc","B","field-schema-or-adapter-contract","https://adk.dev/get-started/typescript/","previously_unverified","normalized","living-doc","Google ADK TypeScript docs current; checked 2026-06-30","official-doc-url-normalization","Official ADK TypeScript documentation; cite with last_checked date."
"eng-fw-haystack-agents","framework","official-doc","B","field-schema-or-adapter-contract","https://docs.haystack.deepset.ai/docs/agents","previously_unverified","normalized","living-doc","Haystack agents docs current; checked 2026-06-30","official-doc-url-normalization","Official Haystack agents docs; cite with last_checked date."
"eng-fw-haystack-repo","framework","repo","B","field-schema-or-adapter-contract","https://github.com/deepset-ai/haystack","previously_unverified","normalized","living-repo","GitHub deepset-ai/haystack main@715ffcbd8086; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-fw-langchain-agents","framework","official-doc","A","field-schema-or-adapter-contract","https://docs.langchain.com/oss/python/langchain/agents","previously_unverified","normalized","living-doc","LangChain OSS Python agents docs; checked 2026-06-30","official-doc-url-normalization","Official LangChain living docs; cite with last_checked date."
"eng-fw-langchain-repo","framework","repo","B","field-schema-or-adapter-contract","https://github.com/langchain-ai/langchain","previously_unverified","normalized","living-repo","GitHub langchain-ai/langchain master@a6612179da96; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-fw-llamaindex-agents","framework","official-doc","A","field-schema-or-adapter-contract","https://docs.llamaindex.ai/en/stable/module_guides/deploying/agents/","previously_unverified","normalized","living-doc","LlamaIndex stable docs; checked 2026-06-30","official-doc-url-normalization","Official LlamaIndex stable documentation path; cite with last_checked date."
"eng-fw-llamaindex-repo","framework","repo","B","field-schema-or-adapter-contract","https://github.com/run-llama/llama_index","previously_unverified","normalized","living-repo","GitHub run-llama/llama_index main@5891d5f4f3e9; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-fw-maf-migration-autogen","framework","official-doc","B","field-schema-or-adapter-contract","https://learn.microsoft.com/en-us/agent-framework/migration-guide/from-autogen","previously_unverified","normalized","living-doc","Microsoft Agent Framework docs; checked 2026-06-30","official-doc-url-normalization","Microsoft Learn Agent Framework living docs; cite with last_checked date."
"eng-fw-mastra-docs","framework","official-doc","A","field-schema-or-adapter-contract","https://mastra.ai/","previously_unverified","normalized","living-doc","Mastra docs current; checked 2026-06-30","official-doc-url-normalization","Official Mastra docs are versionless living docs; cite with last_checked date."
"eng-fw-mastra-repo","framework","repo","B","field-schema-or-adapter-contract","https://github.com/mastra-ai/mastra","previously_unverified","normalized","living-repo","GitHub mastra-ai/mastra main@90aeb8b30d2b; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-fw-microsoft-agent-framework-current","framework","repo","A","field-schema-or-adapter-contract","https://github.com/microsoft/agent-framework","previously_unverified","normalized","living-repo","GitHub microsoft/agent-framework main@4cb1a6651d9c; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-fw-openai-agents-guide","framework","official-doc","A","field-schema-or-adapter-contract","https://developers.openai.com/api/docs/guides/agents","previously_unverified","normalized","living-doc","OpenAI official docs; checked 2026-06-30","official-doc-url-normalization","Official OpenAI documentation; versionless living docs, cite with last_checked date."
"eng-fw-openai-agents-js","framework","repo","A","field-schema-or-adapter-contract","https://github.com/openai/openai-agents-js","previously_unverified","normalized","living-repo","GitHub openai/openai-agents-js main@82e583cc050d; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-fw-openai-agents-release","framework","repo/release","A","field-schema-or-adapter-contract","https://github.com/openai/openai-agents-python/releases","previously_unverified","normalized","living-release-index","Release index for openai/openai-agents-python; repo main@7713342bedf3; checked 2026-06-30","git-ls-remote-release-index","GitHub releases index normalized against repository HEAD; pin concrete release tag before using as normative schema evidence."
"eng-fw-openai-js-repo","framework","repo","A","field-schema-or-adapter-contract","https://github.com/openai/openai-agents-js","previously_unverified","normalized","living-repo","GitHub openai/openai-agents-js main@82e583cc050d; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-fw-openai-orchestration","framework","official-doc","A","field-schema-or-adapter-contract","https://developers.openai.com/api/docs/guides/agents/orchestration","previously_unverified","normalized","living-doc","OpenAI official docs; checked 2026-06-30","official-doc-url-normalization","Official OpenAI documentation; versionless living docs, cite with last_checked date."
"eng-fw-openai-python-repo","framework","repo","A","field-schema-or-adapter-contract","https://github.com/openai/openai-agents-python/","previously_unverified","normalized","living-repo","GitHub openai/openai-agents-python main@7713342bedf3; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-fw-pydantic-ai-agents","framework","official-doc","A","field-schema-or-adapter-contract","https://pydantic.dev/docs/ai/core-concepts/agent/","previously_unverified","normalized","living-doc","Pydantic AI docs current; checked 2026-06-30","official-doc-url-normalization","Official Pydantic AI docs are versionless living docs; cite with last_checked date."
"eng-fw-pydantic-ai-docs","framework","official-doc","A","field-schema-or-adapter-contract","https://pydantic.dev/docs/ai/overview/","previously_unverified","normalized","living-doc","Pydantic AI docs current; checked 2026-06-30","official-doc-url-normalization","Official Pydantic AI docs are versionless living docs; cite with last_checked date."
"eng-fw-pydantic-ai-repo","framework","repo","A","field-schema-or-adapter-contract","https://github.com/pydantic/pydantic-ai/","previously_unverified","normalized","living-repo","GitHub pydantic/pydantic-ai main@abd3e6e6344e; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-fw-semantic-kernel-agents","framework","official-doc","B","field-schema-or-adapter-contract","https://learn.microsoft.com/en-us/semantic-kernel/frameworks/agent/","previously_unverified","normalized","living-doc","Microsoft Semantic Kernel agents docs; checked 2026-06-30","official-doc-url-normalization","Microsoft Learn Semantic Kernel living docs; cite with last_checked date."
"eng-fw-semantic-kernel-repo","framework","repo","B","field-schema-or-adapter-contract","https://github.com/microsoft/semantic-kernel","previously_unverified","normalized","living-repo","GitHub microsoft/semantic-kernel main@dfc522722735; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-fw-smolagents-docs","framework","official-doc","A","field-schema-or-adapter-contract","https://huggingface.co/docs/smolagents/index","previously_unverified","normalized","living-doc","smolagents docs current; checked 2026-06-30","official-doc-url-normalization","Official Hugging Face smolagents docs; cite with last_checked date."
"eng-fw-smolagents-repo","framework","repo","A","field-schema-or-adapter-contract","https://github.com/huggingface/smolagents","previously_unverified","normalized","living-repo","GitHub huggingface/smolagents main@526069c1ead9; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-fw-strands-docs","framework","official-doc","A","field-schema-or-adapter-contract","https://strandsagents.com/","previously_unverified","normalized","living-doc","Strands Agents docs current; checked 2026-06-30","official-doc-url-normalization","Official Strands Agents docs are versionless living docs; cite with last_checked date."
"eng-fw-strands-repo","framework","repo","A","field-schema-or-adapter-contract","https://github.com/strands-agents/sdk-python","previously_unverified","normalized","living-repo","GitHub strands-agents/sdk-python main@4809e9dbf0cd; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-fw-vercel-agents","framework","official-doc","A","field-schema-or-adapter-contract","https://sdk.vercel.ai/docs/agents/overview","previously_unverified","normalized","living-doc","Vercel AI SDK agents docs current; checked 2026-06-30","official-doc-url-normalization","Official Vercel AI SDK agents docs; cite with last_checked date."
"eng-fw-vercel-ai-repo","framework","repo","A","field-schema-or-adapter-contract","https://github.com/vercel/ai","previously_unverified","normalized","living-repo","GitHub vercel/ai main@11ee77873a5f; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-fw-vercel-ai-sdk-docs","framework","official-doc","A","field-schema-or-adapter-contract","https://v6.ai-sdk.dev/docs/introduction","previously_unverified","normalized","living-doc","Vercel AI SDK v6 docs; checked 2026-06-30","official-doc-url-normalization","Versioned v6 AI SDK docs path; cite as v6 documentation."
"eng-fw-vercel-subagents","framework","official-doc","B","field-schema-or-adapter-contract","https://sdk.vercel.ai/docs/agents/subagents","previously_unverified","normalized","living-doc","Vercel AI SDK agents docs current; checked 2026-06-30","official-doc-url-normalization","Official Vercel AI SDK agents docs; cite with last_checked date."
"eng-fw-langgraph-graph-api","framework-runtime","official-doc","A","field-schema-or-adapter-contract","https://docs.langchain.com/oss/python/langgraph/graph-api","previously_unverified","normalized","living-doc","LangGraph OSS Python graph API docs; checked 2026-06-30","official-doc-url-normalization","Official LangGraph graph API living docs; cite with last_checked date."
"eng-fw-langgraph-js","framework-runtime","repo","B","field-schema-or-adapter-contract","https://github.com/langchain-ai/langgraphjs","previously_unverified","normalized","living-repo","GitHub langchain-ai/langgraphjs main@e1b40c29e14f; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-fw-langgraph-repo","framework-runtime","repo","A","field-schema-or-adapter-contract","https://github.com/langchain-ai/langgraph","previously_unverified","normalized","living-repo","GitHub langchain-ai/langgraph main@5931a5f0b313; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-fw-llamaindex-workflows","framework-runtime","official-doc","A","field-schema-or-adapter-contract","https://docs.llamaindex.ai/en/stable/module_guides/workflow/","previously_unverified","normalized","living-doc","LlamaIndex stable docs; checked 2026-06-30","official-doc-url-normalization","Official LlamaIndex stable documentation path; cite with last_checked date."
"eng-fw-maf-workflows","framework-runtime","official-doc","A","field-schema-or-adapter-contract","https://learn.microsoft.com/en-us/agent-framework/workflows/","previously_unverified","normalized","living-doc","Microsoft Agent Framework docs; checked 2026-06-30","official-doc-url-normalization","Microsoft Learn Agent Framework living docs; cite with last_checked date."
"eng-fw-mcp-agent-docs","framework-runtime","official-doc","A","field-schema-or-adapter-contract","https://docs.mcp-agent.com/mcp-agent-sdk/overview","previously_unverified","normalized","living-doc","mcp-agent SDK docs current; checked 2026-06-30","official-doc-url-normalization","Official mcp-agent docs are versionless living docs; cite with last_checked date."
"eng-fw-mcp-agent-repo","framework-runtime","repo","A","field-schema-or-adapter-contract","https://github.com/lastmile-ai/mcp-agent","previously_unverified","normalized","living-repo","GitHub lastmile-ai/mcp-agent main@f62d84935081; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-fw-microsoft-agent-framework-docs","framework-runtime","official-doc","A","field-schema-or-adapter-contract","https://learn.microsoft.com/en-us/agent-framework/overview/","previously_unverified","normalized","living-doc","Microsoft Agent Framework docs; checked 2026-06-30","official-doc-url-normalization","Microsoft Learn Agent Framework living docs; cite with last_checked date."
"eng-fw-microsoft-agent-framework-repo","framework-runtime","repo","A","field-schema-or-adapter-contract","https://github.com/microsoft/agent-framework","previously_unverified","normalized","living-repo","GitHub microsoft/agent-framework main@4cb1a6651d9c; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-agent-ui-tars","gui-agent","repo","A","adjacent-agent-schema-evidence","https://github.com/bytedance/UI-TARS/","previously_unverified","normalized","living-repo","GitHub bytedance/UI-TARS main@582f3a7ea5d2; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-agent-ui-tars-desktop","gui-agent","repo","A","adjacent-agent-schema-evidence","https://github.com/bytedance/UI-TARS-desktop","previously_unverified","normalized","living-repo","GitHub bytedance/UI-TARS-desktop main@e9f3387288da; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-fw-deepagents-docs","harness","official-doc","A","field-schema-or-adapter-contract","https://docs.langchain.com/oss/python/deepagents/overview","previously_unverified","normalized","living-doc","Deep Agents Python docs; checked 2026-06-30","official-doc-url-normalization","Official LangChain Deep Agents Python docs; cite with last_checked date."
