"concept_id","current_domain_id","current_module_id","current_label_zh","current_semantic_kind","current_primary_parent_relation_id","current_depth","current_root_status","lexical_family","definition_family","decision","target_domain_id","target_module_id","proposed_label_zh","proposed_semantic_kind","proposed_primary_parent_relation_id","proposed_backbone_relation_id","convert_to_field_of","convert_to_allowed_value_of","merge_into_id","split_into_ids","required_relation_changes","owner_rationale","source_ids","positive_example_id","boundary_example_id","domain_reviewer","ontology_reviewer","language_reviewer","review_status"
"InteroperabilityAdapter","adapter-plane","adapter-protocols","互操作适配器","capability","InteroperabilityAdapter-is_a-Adapter","1","","互操作适配器","capability","keep","adapter-plane","adapter-protocols","互操作适配器","capability","InteroperabilityAdapter-is_a-Adapter","","","","","","reviewed without relation replacement","协议映射按 identity、semantic kind 和主问题唯一拥有该概念。","eng-proto-a2a-spec|eng-proto-fipa-acl","InteroperabilityAdapter-example-positive-001","InteroperabilityAdapter-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"KQMLAdapter","adapter-plane","adapter-protocols","KQML 适配器","capability","KQMLAdapter-is_a-ProtocolAdapter","3","","KQML 适配器","capability","keep","adapter-plane","adapter-protocols","KQML 适配器","capability","KQMLAdapter-is_a-ProtocolAdapter","KQMLAdapter-is_a-ProtocolAdapter","","","","","reviewed without relation replacement","协议映射按 identity、semantic kind 和主问题唯一拥有该概念。","eng-proto-kqml-spec|lit-proto-kqml","KQMLAdapter-example-positive-001","KQMLAdapter-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"MCPAdapter","adapter-plane","adapter-protocols","MCP 适配器","capability","MCPAdapter-is_a-ProtocolAdapter","3","","MCP 适配器","capability","keep","adapter-plane","adapter-protocols","MCP 适配器","capability","MCPAdapter-is_a-ProtocolAdapter","MCPAdapter-is_a-ProtocolAdapter","","","","","reviewed without relation replacement","协议映射按 identity、semantic kind 和主问题唯一拥有该概念。","eng-proto-mcp-auth|eng-proto-mcp-changelog","MCPAdapter-example-positive-001","MCPAdapter-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ProtocolAdapter","adapter-plane","adapter-protocols","协议适配器","capability","ProtocolAdapter-is_a-InteroperabilityAdapter","2","","协议适配器","capability","keep","adapter-plane","adapter-protocols","协议适配器","capability","ProtocolAdapter-is_a-InteroperabilityAdapter","ProtocolAdapter-is_a-InteroperabilityAdapter","","","","","reviewed without relation replacement","协议映射按 identity、semantic kind 和主问题唯一拥有该概念。","eng-proto-a2a-spec|eng-proto-fipa-acl","ProtocolAdapter-example-positive-001","ProtocolAdapter-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ProtocolCapabilityMapping","adapter-plane","adapter-protocols","协议能力映射","specification","ProtocolCapabilityMapping-is_a-ProtocolMapping","3","","协议能力映射","specification","keep","adapter-plane","adapter-protocols","协议能力映射","specification","ProtocolCapabilityMapping-is_a-ProtocolMapping","ProtocolCapabilityMapping-is_a-ProtocolMapping","","","","","reviewed without relation replacement","协议映射按 identity、semantic kind 和主问题唯一拥有该概念。","eng-proto-a2a-spec|eng-proto-mcp-elicitation","ProtocolCapabilityMapping-example-positive-001","ProtocolCapabilityMapping-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ProtocolMapping","adapter-plane","adapter-protocols","协议映射规则","specification","ProtocolMapping-is_a-MappingRule","2","","协议映射","specification","keep","adapter-plane","adapter-protocols","协议映射规则","specification","ProtocolMapping-is_a-MappingRule","ProtocolMapping-applies_to_adapter-ProtocolAdapter","","","","","reviewed without relation replacement","协议映射按 identity、semantic kind 和主问题唯一拥有该概念。","eng-proto-a2a-spec|eng-proto-fipa-acl","ProtocolMapping-example-positive-001","ProtocolMapping-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ProtocolMessageMapping","adapter-plane","adapter-protocols","协议消息映射","specification","ProtocolMessageMapping-is_a-ProtocolMapping","3","","协议消息映射","specification","keep","adapter-plane","adapter-protocols","协议消息映射","specification","ProtocolMessageMapping-is_a-ProtocolMapping","ProtocolMessageMapping-is_a-ProtocolMapping","","","","","reviewed without relation replacement","协议映射按 identity、semantic kind 和主问题唯一拥有该概念。","eng-proto-a2a-spec|eng-proto-fipa-acl","ProtocolMessageMapping-example-positive-001","ProtocolMessageMapping-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ProtocolTaskMapping","adapter-plane","adapter-protocols","协议任务映射","specification","ProtocolTaskMapping-is_a-ProtocolMapping","3","","协议任务映射","specification","keep","adapter-plane","adapter-protocols","协议任务映射","specification","ProtocolTaskMapping-is_a-ProtocolMapping","ProtocolTaskMapping-is_a-ProtocolMapping","","","","","reviewed without relation replacement","协议映射按 identity、semantic kind 和主问题唯一拥有该概念。","eng-proto-a2a-docs|eng-proto-a2a-spec","ProtocolTaskMapping-example-positive-001","ProtocolTaskMapping-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ProtocolTrustMapping","adapter-plane","adapter-protocols","协议信任映射","specification","ProtocolTrustMapping-is_a-ProtocolMapping","3","","协议信任映射","specification","keep","adapter-plane","adapter-protocols","协议信任映射","specification","ProtocolTrustMapping-is_a-ProtocolMapping","ProtocolTrustMapping-is_a-ProtocolMapping","","","","","reviewed without relation replacement","协议映射按 identity、semantic kind 和主问题唯一拥有该概念。","eng-proto-a2a-spec|eng-proto-mcp-auth","ProtocolTrustMapping-example-positive-001","ProtocolTrustMapping-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"FrontendViewAdapter","adapter-plane","adapter-schema-export","前端视图适配器","capability","FrontendViewAdapter-is_a-SchemaAdapter","2","","前端视图适配器","capability","reparent","adapter-plane","adapter-schema-export","前端视图适配器","capability","FrontendViewAdapter-is_a-ProjectionAdapter","FrontendViewAdapter-is_a-ProjectionAdapter","","","","","owner/backbone updated in source","模式导出按 identity、semantic kind 和主问题唯一拥有该概念。","eng-ont-fibo-viewer|eng-ont-microsoft-fabric-iq-ontology","FrontendViewAdapter-example-positive-001","FrontendViewAdapter-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"GraphIRAdapter","adapter-plane","adapter-schema-export","Graph IR 适配器","capability","GraphIRAdapter-is_a-SchemaAdapter","2","","Graph IR 适配器","capability","reparent","adapter-plane","adapter-schema-export","Graph IR 适配器","capability","GraphIRAdapter-is_a-ProjectionAdapter","GraphIRAdapter-is_a-ProjectionAdapter","","","","","owner/backbone updated in source","模式导出按 identity、semantic kind 和主问题唯一拥有该概念。","eng-ont-fibo-viewer|eng-ont-rdf","GraphIRAdapter-example-positive-001","GraphIRAdapter-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"JSONSchemaAdapter","adapter-plane","adapter-schema-export","JSON Schema 适配器","capability","JSONSchemaAdapter-is_a-SchemaAdapter","2","","JSON Schema 适配器","capability","reparent","adapter-plane","adapter-schema-export","JSON Schema 适配器","capability","JSONSchemaAdapter-is_a-StructuralSchemaAdapter","JSONSchemaAdapter-is_a-StructuralSchemaAdapter","","","","","owner/backbone updated in source","模式导出按 identity、semantic kind 和主问题唯一拥有该概念。","eng-val-jsonschema-ietf|eng-val-jsonschema-spec","JSONSchemaAdapter-example-positive-001","JSONSchemaAdapter-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"OWLExportAdapter","adapter-plane","adapter-schema-export","OWL 导出适配器","capability","OWLExportAdapter-is_a-SchemaAdapter","2","","OWL 导出适配器","capability","reparent","adapter-plane","adapter-schema-export","OWL 导出适配器","capability","OWLExportAdapter-is_a-SemanticGraphAdapter","OWLExportAdapter-is_a-SemanticGraphAdapter","","","","","owner/backbone updated in source","模式导出按 identity、semantic kind 和主问题唯一拥有该概念。","eng-ont-owl|lit-ont-owl-shacl-lessons","OWLExportAdapter-example-positive-001","OWLExportAdapter-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ProjectionAdapter","","","","","","","","投影适配器","capability","add","adapter-plane","adapter-schema-export","投影适配器","capability","ProjectionAdapter-is_a-Adapter","","","","","","new reviewed concept; no v2 record to migrate","模式导出按 identity、semantic kind 和主问题唯一拥有该概念。","eng-ont-owl|eng-val-jsonschema-spec","ProjectionAdapter-example-positive-001","ProjectionAdapter-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"PydanticProfileAdapter","adapter-plane","adapter-schema-export","Pydantic 配置适配器","capability","PydanticProfileAdapter-is_a-SchemaAdapter","2","","Pydantic 配置适配器","capability","reparent","adapter-plane","adapter-schema-export","Pydantic 配置适配器","capability","PydanticProfileAdapter-is_a-StructuralSchemaAdapter","PydanticProfileAdapter-is_a-StructuralSchemaAdapter","","","","","owner/backbone updated in source","模式导出按 identity、semantic kind 和主问题唯一拥有该概念。","eng-val-pydantic-core|eng-val-pydantic-json-schema","PydanticProfileAdapter-example-positive-001","PydanticProfileAdapter-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"SchemaAdapter","adapter-plane","adapter-schema-export","Schema 适配器","capability","SchemaAdapter-is_a-Adapter","1","","Schema 适配器","capability","reparent","adapter-plane","adapter-schema-export","Schema 适配器","capability","SchemaAdapter-is_a-ProjectionAdapter","SchemaAdapter-is_a-ProjectionAdapter","","","","","owner/backbone updated in source","模式导出按 identity、semantic kind 和主问题唯一拥有该概念。","eng-ont-owl|eng-val-jsonschema-spec","SchemaAdapter-example-positive-001","SchemaAdapter-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"SchemaProjectionRun","","","","","","","","模式投影运行","activity","add","adapter-plane","adapter-schema-export","模式投影运行","activity","","SchemaProjectionRun-uses-ProjectionAdapter","","","","","new reviewed concept; no v2 record to migrate","模式导出按 identity、semantic kind 和主问题唯一拥有该概念。","eng-ont-owl|eng-val-jsonschema-spec","SchemaProjectionRun-example-positive-001","SchemaProjectionRun-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"SemanticGraphAdapter","","","","","","","","语义图适配器","capability","add","adapter-plane","adapter-schema-export","语义图适配器","capability","SemanticGraphAdapter-is_a-ProjectionAdapter","SemanticGraphAdapter-is_a-ProjectionAdapter","","","","","new reviewed concept; no v2 record to migrate","模式导出按 identity、semantic kind 和主问题唯一拥有该概念。","eng-ont-owl|eng-val-jsonschema-spec","SemanticGraphAdapter-example-positive-001","SemanticGraphAdapter-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
