"id","corpus","area","title","url","year","source_type","priority","status","why_it_matters","source_file"
"eng-fw-beeai-repo","engineering","framework","i-am-bee/beeai-framework","https://github.com/i-am-bee/beeai-framework","","repo","B","known-primary","Implementation reference.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-crewai-agents","engineering","framework","CrewAI agents","https://docs.crewai.com/concepts/agents","","official-doc","A","known-primary","Agent role, goal, backstory, tools.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-crewai-docs","engineering","framework","CrewAI docs","https://docs.crewai.com/","","official-doc","A","known-primary","Role/task/crew/process abstraction.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-crewai-flows","engineering","framework","CrewAI flows","https://docs.crewai.com/concepts/flows","","official-doc","A","known-primary","Event-driven orchestration.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-crewai-processes","engineering","framework","CrewAI processes","https://docs.crewai.com/concepts/processes","","official-doc","B","known-primary","Sequential/hierarchical execution modes.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-crewai-repo","engineering","framework","crewAIInc/crewAI","https://github.com/crewAIInc/crewAI","","repo","A","known-primary","Maintained framework implementation.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-crewai-tasks","engineering","framework","CrewAI tasks","https://docs.crewai.com/concepts/tasks","","official-doc","A","known-primary","Task contract and expected outputs.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-dspy-docs","engineering","framework","DSPy docs","https://dspy.ai/","","official-doc","A","known-primary","Declarative LM programs and optimization.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-dspy-repo","engineering","framework","stanfordnlp/dspy","https://github.com/stanfordnlp/dspy","","repo","B","known-primary","Optimizers/evaluation implementation.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-google-adk-a2a-example","engineering","framework","Google ADK + A2A cross-language example","https://developers.googleblog.com/build-cross-language-multi-agent-team-with-google-agent-development-kit-and-a2a/","","official-blog","B","search-verified","Current official example of A2A-connected multi-agent services.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-google-adk-docs","engineering","framework","Google ADK docs","https://google.github.io/adk-docs/","","official-doc","A","search-verified","Agent, workflow, task, deployment.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-google-adk-repo","engineering","framework","google/adk-python","https://github.com/google/adk-python/","","repo","A","search-verified","ADK 2.0 workflow runtime and task API.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-google-adk-ts","engineering","framework","ADK TypeScript docs","https://adk.dev/get-started/typescript/","","official-doc","B","search-verified","TypeScript ADK implementation surface.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-haystack-agents","engineering","framework","Haystack agents docs","https://docs.haystack.deepset.ai/docs/agents","","official-doc","B","known-primary","Pipeline/tool agent model.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-haystack-repo","engineering","framework","deepset-ai/haystack","https://github.com/deepset-ai/haystack","","repo","B","known-primary","Production RAG/agent framework.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-langchain-agents","engineering","framework","LangChain agents","https://docs.langchain.com/oss/python/langchain/agents","","official-doc","A","search-verified","Agent loop, middleware, structured output, context.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-langchain-repo","engineering","framework","langchain-ai/langchain","https://github.com/langchain-ai/langchain","","repo","B","known-primary","Broad framework ecosystem and integration surface.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-llamaindex-agents","engineering","framework","LlamaIndex agents docs","https://docs.llamaindex.ai/en/stable/module_guides/deploying/agents/","","official-doc","A","known-primary","Agent deployment and tool/RAG integration.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-llamaindex-repo","engineering","framework","run-llama/llama_index","https://github.com/run-llama/llama_index","","repo","B","known-primary","Implementation and examples.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-maf-migration-autogen","engineering","framework","Migration from AutoGen","https://learn.microsoft.com/en-us/agent-framework/migration-guide/from-autogen","","official-doc","B","search-verified","Evolution from AutoGen to MAF.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-mastra-docs","engineering","framework","Mastra docs","https://mastra.ai/","","official-doc","A","search-verified","TypeScript agents, workflows, memory, observability.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-mastra-repo","engineering","framework","mastra-ai/mastra","https://github.com/mastra-ai/mastra","","repo","B","known-primary","TS implementation and examples.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-microsoft-agent-framework-current","engineering","framework","microsoft/agent-framework","https://github.com/microsoft/agent-framework","","repo","A","search-verified","Current repo metadata, release cadence, and multi-language workflow evidence.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-openai-agents-guide","engineering","framework","OpenAI Agents guide","https://developers.openai.com/api/docs/guides/agents","","official-doc","A","known-primary","Current OpenAI agent development surface.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-openai-agents-js","engineering","framework","openai-agents-js","https://github.com/openai/openai-agents-js","","repo","A","search-verified","JavaScript/TypeScript Agents SDK implementation.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-openai-agents-release","engineering","framework","openai-agents-python releases","https://github.com/openai/openai-agents-python/releases","","repo/release","A","search-verified","Release cadence and version evidence for Agents SDK.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-openai-handoffs","engineering","framework","OpenAI handoffs docs","https://openai.github.io/openai-agents-python/handoffs/","","official-doc","A","known-primary","Delegation ownership transfer.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-openai-js-repo","engineering","framework","openai-agents-js","https://github.com/openai/openai-agents-js","","repo","A","known-primary","TypeScript agent SDK implementation.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-openai-orchestration","engineering","framework","OpenAI orchestration and handoffs","https://developers.openai.com/api/docs/guides/agents/orchestration","","official-doc","A","fetched","Handoffs versus agents-as-tools.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-openai-python-docs","engineering","framework","OpenAI Agents SDK Python docs","https://openai.github.io/openai-agents-python/","","official-doc","A","fetched","Agents, tools, handoffs, guardrails, tracing.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-openai-python-repo","engineering","framework","openai-agents-python","https://github.com/openai/openai-agents-python/","","repo","A","fetched","Current repo metadata and release cadence.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-openai-tools","engineering","framework","OpenAI tools docs","https://openai.github.io/openai-agents-python/tools/","","official-doc","A","known-primary","Function/MCP/hosted tools and agents-as-tools.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-pydantic-ai-agents","engineering","framework","Pydantic AI agents","https://pydantic.dev/docs/ai/core-concepts/agent/","","official-doc","A","search-verified","Agent graph execution and run modes.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-pydantic-ai-docs","engineering","framework","Pydantic AI docs","https://pydantic.dev/docs/ai/overview/","","official-doc","A","search-verified","Type-safe agent framework and dependency injection.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-pydantic-ai-repo","engineering","framework","pydantic/pydantic-ai","https://github.com/pydantic/pydantic-ai/","","repo","A","search-verified","Current v2+ implementation and release cadence.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-semantic-kernel-agents","engineering","framework","Semantic Kernel agents","https://learn.microsoft.com/en-us/semantic-kernel/frameworks/agent/","","official-doc","B","known-primary","Enterprise agent/plugin patterns.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-semantic-kernel-repo","engineering","framework","microsoft/semantic-kernel","https://github.com/microsoft/semantic-kernel","","repo","B","known-primary","Cross-language agent/plugin implementation.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-smolagents-docs","engineering","framework","smolagents docs","https://huggingface.co/docs/smolagents/index","","official-doc","A","search-verified","CodeAgent, ToolCallingAgent, sandboxed execution.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-smolagents-repo","engineering","framework","huggingface/smolagents","https://github.com/huggingface/smolagents","","repo","A","known-primary","HF agent implementation.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-strands-docs","engineering","framework","Strands Agents docs","https://strandsagents.com/","","official-doc","A","search-verified","Model-driven agent SDK.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-strands-repo","engineering","framework","strands-agents/sdk-python","https://github.com/strands-agents/sdk-python","","repo","A","search-verified","Python/TS harness implementation.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-vercel-agents","engineering","framework","Vercel AI SDK agents","https://sdk.vercel.ai/docs/agents/overview","","official-doc","A","search-verified","ToolLoopAgent, HarnessAgent, runtime context.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-vercel-ai-repo","engineering","framework","vercel/ai","https://github.com/vercel/ai","","repo","A","known-primary","AI SDK implementation.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-vercel-ai-sdk-docs","engineering","framework","Vercel AI SDK docs","https://v6.ai-sdk.dev/docs/introduction","","official-doc","A","search-verified","TS toolkit, agents, workflows, harnesses.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-vercel-subagents","engineering","framework","Vercel AI SDK subagents","https://sdk.vercel.ai/docs/agents/subagents","","official-doc","B","search-verified","Subagent support in TS agent surface.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-langgraph-docs","engineering","framework-runtime","LangGraph docs","https://docs.langchain.com/oss/python/langgraph/overview","","official-doc","A","search-verified","Durable, stateful, graph-based agent orchestration.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-langgraph-graph-api","engineering","framework-runtime","LangGraph Graph API","https://docs.langchain.com/oss/python/langgraph/graph-api","","official-doc","A","search-verified","StateGraph, nodes, edges, reducers, routing.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-langgraph-js","engineering","framework-runtime","langchain-ai/langgraphjs","https://github.com/langchain-ai/langgraphjs","","repo","B","known-primary","TypeScript parity and JS adapter concerns.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-langgraph-repo","engineering","framework-runtime","langchain-ai/langgraph","https://github.com/langchain-ai/langgraph","","repo","A","search-verified","Current implementation and release cadence.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-llamaindex-workflows","engineering","framework-runtime","LlamaIndex workflows","https://docs.llamaindex.ai/en/stable/module_guides/workflow/","","official-doc","A","known-primary","Event workflow runtime.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-maf-workflows","engineering","framework-runtime","Microsoft Agent Framework workflows","https://learn.microsoft.com/en-us/agent-framework/workflows/","","official-doc","A","search-verified","Sequential, concurrent, handoff, group patterns.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-mcp-agent-docs","engineering","framework-runtime","mcp-agent docs","https://docs.mcp-agent.com/mcp-agent-sdk/overview","","official-doc","A","search-verified","MCP server aggregation, agents, workflows, execution engines.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-mcp-agent-repo","engineering","framework-runtime","lastmile-ai/mcp-agent","https://github.com/lastmile-ai/mcp-agent","","repo","A","search-verified","MCP-native agent framework with workflow patterns and Temporal durability.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-microsoft-agent-framework-docs","engineering","framework-runtime","Microsoft Agent Framework docs","https://learn.microsoft.com/en-us/agent-framework/overview/","","official-doc","A","search-verified","Python/.NET agents and workflows.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-microsoft-agent-framework-repo","engineering","framework-runtime","microsoft/agent-framework","https://github.com/microsoft/agent-framework","","repo","A","search-verified","Production-grade multi-agent workflows.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-agent-ui-tars","engineering","gui-agent","UI-TARS","https://github.com/bytedance/UI-TARS/","","repo","A","search-verified","GUI/computer-use multimodal agent model.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-agent-ui-tars-desktop","engineering","gui-agent","UI-TARS desktop","https://github.com/bytedance/UI-TARS-desktop","","repo","A","search-verified","Desktop and browser GUI agent stack.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-deepagents-docs","engineering","harness","Deep Agents docs","https://docs.langchain.com/oss/python/deepagents/overview","","official-doc","A","search-verified","Planning, subagents, filesystem, context management.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-deepagents-js-docs","engineering","harness","Deep Agents JS docs","https://docs.langchain.com/oss/javascript/deepagents/overview","","official-doc","A","search-verified","Subagents, filesystem context, memory, MCP, and interrupts in JS harness.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-deepagents-repo","engineering","harness","langchain-ai/deepagents","https://github.com/langchain-ai/deepagents","","repo","B","known-primary","Practical subagent harness implementation.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-langsmith-docs","engineering","observability","LangSmith docs","https://docs.smith.langchain.com/","","official-doc","B","known-primary","Tracing, evaluation, deployment feedback.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-openai-tracing","engineering","observability","OpenAI tracing docs","https://openai.github.io/openai-agents-python/tracing/","","official-doc","A","known-primary","Trace/span implications.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-ont-jsonld","engineering","ontology","JSON-LD 1.1","https://www.w3.org/TR/json-ld11/","","standard","A","known-primary","JSON to RDF graph compatibility.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-ont-owl","engineering","ontology","OWL 2 overview","https://www.w3.org/TR/owl2-overview/","","standard","A","known-primary","Ontology language baseline.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-ont-rdf","engineering","ontology","RDF 1.1 Concepts","https://www.w3.org/TR/rdf11-concepts/","","standard","A","known-primary","Graph data model baseline.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-ont-rdfs","engineering","ontology","RDF Schema 1.1","https://www.w3.org/TR/rdf-schema/","","standard","A","known-primary","Class/property/domain/range baseline.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-ont-skos","engineering","ontology","SKOS Reference","https://www.w3.org/TR/skos-reference/","","standard","A","known-primary","Concept scheme and labels.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-proto-a2a-docs","engineering","protocol","A2A docs","https://a2a-protocol.org/dev/","","official-doc","A","search-verified","A2A vs MCP boundaries.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-proto-a2a-repo","engineering","protocol","a2aproject/A2A","https://github.com/a2aproject/A2A","","repo","A","search-verified","Linux Foundation protocol repo.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-proto-a2a-spec","engineering","protocol","A2A specification","https://a2a-protocol.org/latest/specification/","","official-spec","A","search-verified","Agent-to-agent interoperability.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-proto-agent-protocol","engineering","protocol","Agent Protocol","https://langchain-ai.github.io/agent-protocol/","","spec","B","known-primary","Thread/run/state deployment protocol.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-proto-asyncapi","engineering","protocol","AsyncAPI specification","https://www.asyncapi.com/docs/reference/specification/latest","","standard","A","known-primary","Event-driven API bindings.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-proto-cloudevents","engineering","protocol","CloudEvents spec","https://github.com/cloudevents/spec","","standard","A","known-primary","Event envelope interoperability.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-proto-jsonrpc","engineering","protocol","JSON-RPC 2.0","https://www.jsonrpc.org/specification","","standard","A","known-primary","MCP/A2A transport substrate.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-proto-mcp-2025-spec","engineering","protocol","MCP 2025-11-25 specification","https://modelcontextprotocol.io/specification/2025-11-25.md","","official-spec","A","search-verified","Current stable spec baseline before 2026 RC.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-proto-mcp-2026-rc","engineering","protocol","MCP 2026 release candidate blog","https://blog.modelcontextprotocol.io/posts/2026-07-28-release-candidate/","","official-blog","A","future-dated-excluded","Future-dated relative to 2026-06-30; excluded until publication can be verified.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-proto-mcp-auth","engineering","protocol","MCP authorization","https://github.com/modelcontextprotocol/modelcontextprotocol/blob/ff960c9e/docs/specification/2025-06-18/basic/authorization.mdx","","official-spec","A","search-verified","OAuth resource metadata and resource indicators.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-proto-mcp-basic","engineering","protocol","MCP 2025-06-18 basic","https://modelcontextprotocol.io/specification/2025-06-18/basic","","official-spec","A","search-verified","Base protocol, lifecycle, authorization.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-proto-mcp-changelog","engineering","protocol","MCP changelog","https://modelcontextprotocol.io/specification/draft/changelog","","official-doc","A","search-verified","Current feature/deprecation evolution.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-proto-mcp-elicitation","engineering","protocol","MCP elicitation","https://modelcontextprotocol.io/specification/2025-11-25/client/elicitation","","official-spec","A","search-verified","Interactive data request flow.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
