axiom_id,action,target_id,rationale,reviewer,status
AX_adapter_statecharts_event_observable,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_statecharts_has_evidence_strength_datatype,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_statecharts_has_source,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_statecharts_has_state_datatype,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_statecharts_plane_membership,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_statecharts_relates_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_terms_do_not_redefine_core,migrate_to_root_constraint_or_hygiene_gate,AX_adapter_terms_do_not_redefine_core,This axiom expresses a genuine whole-ontology invariant and is retained once at the root.,codex-axiom-migration-reviewer,accepted
AX_allows_action_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_artifact_attributed_to_actor_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_artifact_consumed_by_attempt_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_artifact_derived_from_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_artifact_exported_as_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_artifact_produced_by_attempt_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_artifact_produced_by_event_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_artifact_reviewed_by_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_assembles_context_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_assigns_work_item_to_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_associated_with_attempt_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_audit_disclosure_records_disclosure_filter_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_audit_log_summarizes_audit_record_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_authorizes_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_belongs_to_data_zone_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_blocking_error_blocks_run_attempt_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_blocks_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_boundary_crossing_authorized_by_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_boundary_crossing_has_source_actor_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_boundary_crossing_has_source_zone_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_boundary_crossing_has_target_actor_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_boundary_crossing_has_target_zone_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_boundary_crossing_recorded_by_trace_event_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_candidate_chunk_scored_by_lexical_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_candidate_chunk_scored_by_similarity_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_candidate_set_contains_chunk_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_capability_descriptor_describes_api_operation_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_capability_surface_advertises_descriptor_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_checkpoint_belongs_to_session_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_checkpoint_captures_snapshot_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_checkpoint_has_parent_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_chunk_derived_from_document_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_chunk_has_boundary_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_chunk_has_provenance_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_chunk_reference_targets_source_span_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_chunking_run_produces_chunk_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_chunks_document_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_cites_source_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_closes_runtime_session_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_commit_approval_authorizes_side_effect_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_commit_denial_blocks_side_effect_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_commit_gate_emits_policy_decision_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_commit_request_evaluated_by_commit_gate_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_compressed_into_summary_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_confidence_signal_qualifies_review_finding_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_conflicts_with_instruction_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_constrained_by_budget_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_constrained_by_runtime_budget_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_context_assembly_applies_ordering_rule_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_context_assembly_includes_retrieved_chunk_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_context_assembly_uses_budget_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_context_exclusion_excludes_chunk_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_context_window_crosses_trust_boundary_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_controls_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_correction_applies_to_artifact_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_correction_triggered_by_feedback_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_crosses_trust_boundary_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_decomposes_goal_into_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_delegates_authority_scope_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_delegates_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_delegates_to_subagent_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_denies_action_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_depends_on_task_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_derived_from_source_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_derived_from_trace_event_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_diagnostic_message_derived_from_log_record_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_disclosure_filter_suppresses_output_window_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_discovers_tool_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_displayed_to_actor_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_distributes_task_to_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_document_attached_from_source_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_document_has_document_metadata_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_embedding_run_embeds_chunk_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_embedding_run_produces_vector_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_embeds_chunk_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_emits_conversion_warning_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_emits_trace_event_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_error_event_classified_by_failure_mode_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_escalates_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_evaluation_run_produces_score_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_evaluation_run_uses_rubric_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_excluded_from_context_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_executes_in_sandbox_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_feedback_derived_from_review_finding_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_feedback_event_carries_feedback_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_feedback_event_informs_policy_decision_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_feedback_event_targets_optimization_loop_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_feedback_event_targets_route_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_feedback_event_targets_task_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_feedback_event_targets_worker_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_feedback_logging_contains_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_feedback_logging_event_observable,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
