relation_id,action,target_relation_id,target_relation_ids,target_mapping_id,rationale,reviewer,status
artifact_attributed_to_actor,migrate_reviewed_relation,artifact_attributed_to_actor,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
artifact_consumed_by_attempt,migrate_reviewed_relation,artifact_consumed_by_attempt,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
artifact_derived_from,retire_after_endpoint_or_semantic_review,,[],,"The relation was a generated placeholder, used a pseudo endpoint, duplicated taxonomy, or lost its subject after reviewed concept disposition.",codex-legacy-relation-reviewer,accepted
artifact_exported_as,migrate_reviewed_relation,artifact_exported_as,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
artifact_produced_by_attempt,merge_into_reviewed_relation,Artifact-generated_by-RunAttempt,"[""Artifact-generated_by-RunAttempt""]",,“artifact_produced_by_attempt” and “Artifact-generated_by-RunAttempt” assert the same verifiable fact; the semantically sharper target is retained with all evidence and examples migrated.,codex-legacy-relation-reviewer,accepted
artifact_produced_by_event,migrate_reviewed_relation,artifact_produced_by_event,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
artifact_reviewed_by,migrate_reviewed_relation,artifact_reviewed_by,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
assembles_context,merge_into_reviewed_relation,ContextAssembly-produces-ContextWindow,"[""ContextAssembly-produces-ContextWindow""]",,“assembles_context” and “ContextAssembly-produces-ContextWindow” assert the same verifiable fact; the semantically sharper target is retained with all evidence and examples migrated.,codex-legacy-relation-reviewer,accepted
assigns_work_item_to,migrate_reviewed_relation,assigns_work_item_to,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
associated_with_attempt,migrate_reviewed_relation,associated_with_attempt,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
audit_disclosure_records_disclosure_filter,migrate_reviewed_relation,audit_disclosure_records_disclosure_filter,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
audit_log_summarizes_audit_record,migrate_reviewed_relation,audit_log_summarizes_audit_record,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
authorizes,retire_after_endpoint_or_semantic_review,,[],,"The relation was a generated placeholder, used a pseudo endpoint, duplicated taxonomy, or lost its subject after reviewed concept disposition.",codex-legacy-relation-reviewer,accepted
belongs_to_data_zone,migrate_reviewed_relation,belongs_to_data_zone,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
blocking_error_blocks_run_attempt,migrate_reviewed_relation,blocking_error_blocks_run_attempt,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
blocks,retire_after_endpoint_or_semantic_review,,[],,"The relation was a generated placeholder, used a pseudo endpoint, duplicated taxonomy, or lost its subject after reviewed concept disposition.",codex-legacy-relation-reviewer,accepted
boundary_crossing_authorized_by,migrate_reviewed_relation,boundary_crossing_authorized_by,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
boundary_crossing_has_source_actor,migrate_reviewed_relation,boundary_crossing_has_source_actor,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
boundary_crossing_has_source_zone,merge_into_reviewed_relation,BoundaryCrossing-has_source_zone-DataZone,"[""BoundaryCrossing-has_source_zone-DataZone""]",,“boundary_crossing_has_source_zone” and “BoundaryCrossing-has_source_zone-DataZone” assert the same verifiable fact; the semantically sharper target is retained with all evidence and examples migrated.,codex-legacy-relation-reviewer,accepted
boundary_crossing_has_target_actor,migrate_reviewed_relation,boundary_crossing_has_target_actor,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
boundary_crossing_has_target_zone,merge_into_reviewed_relation,BoundaryCrossing-has_target_zone-DataZone,"[""BoundaryCrossing-has_target_zone-DataZone""]",,“boundary_crossing_has_target_zone” and “BoundaryCrossing-has_target_zone-DataZone” assert the same verifiable fact; the semantically sharper target is retained with all evidence and examples migrated.,codex-legacy-relation-reviewer,accepted
boundary_crossing_recorded_by_trace_event,migrate_reviewed_relation,boundary_crossing_recorded_by_trace_event,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
candidate_chunk_scored_by_lexical,migrate_reviewed_relation,candidate_chunk_scored_by_lexical,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
candidate_chunk_scored_by_similarity,migrate_reviewed_relation,candidate_chunk_scored_by_similarity,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
candidate_set_contains_chunk,merge_into_reviewed_relation,CandidateSet-contains-CandidateChunk,"[""CandidateSet-contains-CandidateChunk""]",,“candidate_set_contains_chunk” and “CandidateSet-contains-CandidateChunk” assert the same verifiable fact; the semantically sharper target is retained with all evidence and examples migrated.,codex-legacy-relation-reviewer,accepted
capability_descriptor_describes_api_operation,migrate_reviewed_relation,capability_descriptor_describes_api_operation,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
capability_surface_advertises_descriptor,merge_into_reviewed_relation,CapabilitySurface-publishes-CapabilityDescriptor,"[""CapabilitySurface-publishes-CapabilityDescriptor""]",,“capability_surface_advertises_descriptor” and “CapabilitySurface-publishes-CapabilityDescriptor” assert the same verifiable fact; the semantically sharper target is retained with all evidence and examples migrated.,codex-legacy-relation-reviewer,accepted
checkpoint_belongs_to_session,migrate_reviewed_relation,checkpoint_belongs_to_session,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
checkpoint_captures_snapshot,merge_into_reviewed_relation,Checkpoint-captures-StateSnapshot,"[""Checkpoint-captures-StateSnapshot""]",,“checkpoint_captures_snapshot” and “Checkpoint-captures-StateSnapshot” assert the same verifiable fact; the semantically sharper target is retained with all evidence and examples migrated.,codex-legacy-relation-reviewer,accepted
checkpoint_has_parent,retire_after_endpoint_or_semantic_review,,[],,"The relation was a generated placeholder, used a pseudo endpoint, duplicated taxonomy, or lost its subject after reviewed concept disposition.",codex-legacy-relation-reviewer,accepted
chunk_derived_from_document,migrate_reviewed_relation,chunk_derived_from_document,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
chunk_has_boundary,migrate_reviewed_relation,chunk_has_boundary,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
chunk_has_provenance,migrate_reviewed_relation,chunk_has_provenance,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
chunk_reference_targets_source_span,migrate_reviewed_relation,chunk_reference_targets_source_span,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
chunking_run_produces_chunk,merge_into_reviewed_relation,ChunkingRun-produces-Chunk,"[""ChunkingRun-produces-Chunk""]",,“chunking_run_produces_chunk” and “ChunkingRun-produces-Chunk” assert the same verifiable fact; the semantically sharper target is retained with all evidence and examples migrated.,codex-legacy-relation-reviewer,accepted
chunks_document,redirect_to_reviewed_relation,ChunkingRun-consumes-Document,"[""ChunkingRun-consumes-Document""]",,The old Chunk range of chunks_document conflated input and output: a ChunkingRun consumes a Document and separately produces Chunks.,codex-legacy-relation-reviewer,accepted
cites_source,migrate_reviewed_relation,cites_source,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
closes_runtime_session,migrate_reviewed_relation,closes_runtime_session,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
commit_approval_authorizes_side_effect,merge_into_reviewed_relation,CommitApproval-authorizes-SideEffect,"[""CommitApproval-authorizes-SideEffect""]",,“commit_approval_authorizes_side_effect” and “CommitApproval-authorizes-SideEffect” assert the same verifiable fact; the semantically sharper target is retained with all evidence and examples migrated.,codex-legacy-relation-reviewer,accepted
commit_denial_blocks_side_effect,merge_into_reviewed_relation,CommitDenial-blocks-SideEffect,"[""CommitDenial-blocks-SideEffect""]",,“commit_denial_blocks_side_effect” and “CommitDenial-blocks-SideEffect” assert the same verifiable fact; the semantically sharper target is retained with all evidence and examples migrated.,codex-legacy-relation-reviewer,accepted
commit_gate_emits_policy_decision,migrate_reviewed_relation,commit_gate_emits_policy_decision,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
commit_request_evaluated_by_commit_gate,merge_into_reviewed_relation,CommitRequest-evaluated_by-CommitGate,"[""CommitRequest-evaluated_by-CommitGate""]",,“commit_request_evaluated_by_commit_gate” and “CommitRequest-evaluated_by-CommitGate” assert the same verifiable fact; the semantically sharper target is retained with all evidence and examples migrated.,codex-legacy-relation-reviewer,accepted
compressed_into_summary,migrate_reviewed_relation,compressed_into_summary,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
confidence_signal_qualifies_review_finding,migrate_reviewed_relation,confidence_signal_qualifies_review_finding,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
conflicts_with_instruction,retire_after_endpoint_or_semantic_review,,[],,"The relation was a generated placeholder, used a pseudo endpoint, duplicated taxonomy, or lost its subject after reviewed concept disposition.",codex-legacy-relation-reviewer,accepted
constrained_by_budget,migrate_reviewed_relation,constrained_by_budget,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
constrained_by_runtime_budget,merge_into_reviewed_relation,RuntimeBudget-constrains-RunAttempt,"[""RuntimeBudget-constrains-RunAttempt""]",,"The legacy assertion is represented once by the retained canonical relation; its former direction is exposed through the reviewed inverse reading.",codex-legacy-relation-reviewer,accepted
context_assembly_applies_ordering_rule,migrate_reviewed_relation,context_assembly_applies_ordering_rule,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
context_assembly_includes_retrieved_chunk,migrate_reviewed_relation,context_assembly_includes_retrieved_chunk,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
context_assembly_uses_budget,migrate_reviewed_relation,context_assembly_uses_budget,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
context_exclusion_excludes_chunk,migrate_reviewed_relation,context_exclusion_excludes_chunk,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
context_window_crosses_trust_boundary,migrate_reviewed_relation,context_window_crosses_trust_boundary,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
controls,retire_after_endpoint_or_semantic_review,,[],,"The relation was a generated placeholder, used a pseudo endpoint, duplicated taxonomy, or lost its subject after reviewed concept disposition.",codex-legacy-relation-reviewer,accepted
correction_applies_to_artifact,migrate_reviewed_relation,correction_applies_to_artifact,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
correction_triggered_by_feedback,merge_into_reviewed_relation,Feedback-motivates-Correction,"[""Feedback-motivates-Correction""]",,"The legacy assertion is represented once by the retained canonical relation; its former direction is exposed through the reviewed inverse reading.",codex-legacy-relation-reviewer,accepted
crosses_trust_boundary,merge_into_reviewed_relation,BoundaryCrossing-crosses-TrustBoundary,"[""BoundaryCrossing-crosses-TrustBoundary""]",,“crosses_trust_boundary” and “BoundaryCrossing-crosses-TrustBoundary” assert the same verifiable fact; the semantically sharper target is retained with all evidence and examples migrated.,codex-legacy-relation-reviewer,accepted
decomposes_goal_into,merge_into_reviewed_relation,Goal-refined_into-Objective,"[""Goal-refined_into-Objective""]",,Goal decomposition and refinement are the same Goal-to-operational-Objective fact in this closure and are unified as refined_into.,codex-legacy-relation-reviewer,accepted
delegates,retire_after_endpoint_or_semantic_review,,[],,"The relation was a generated placeholder, used a pseudo endpoint, duplicated taxonomy, or lost its subject after reviewed concept disposition.",codex-legacy-relation-reviewer,accepted
delegates_authority_scope,merge_into_reviewed_relation,DelegationContract-grants-DelegatedAuthority,"[""DelegationContract-grants-DelegatedAuthority""]",,“delegates_authority_scope” and “DelegationContract-grants-DelegatedAuthority” assert the same verifiable fact; the semantically sharper target is retained with all evidence and examples migrated.,codex-legacy-relation-reviewer,accepted
delegates_to_subagent,migrate_reviewed_relation,delegates_to_subagent,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
denies_action,retire_after_endpoint_or_semantic_review,,[],,"The relation was a generated placeholder, used a pseudo endpoint, duplicated taxonomy, or lost its subject after reviewed concept disposition.",codex-legacy-relation-reviewer,accepted
depends_on_task,retire_after_endpoint_or_semantic_review,,[],,"The relation was a generated placeholder, used a pseudo endpoint, duplicated taxonomy, or lost its subject after reviewed concept disposition.",codex-legacy-relation-reviewer,accepted
derived_from_source,migrate_reviewed_relation,derived_from_source,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
derived_from_trace_event,migrate_reviewed_relation,derived_from_trace_event,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
diagnostic_message_derived_from_log_record,migrate_reviewed_relation,diagnostic_message_derived_from_log_record,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
disclosure_filter_suppresses_output_window,migrate_reviewed_relation,disclosure_filter_suppresses_output_window,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
discovers_tool,migrate_reviewed_relation,discovers_tool,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
displayed_to_actor,migrate_reviewed_relation,displayed_to_actor,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
distributes_task_to,migrate_reviewed_relation,distributes_task_to,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
document_attached_from_source,migrate_reviewed_relation,document_attached_from_source,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
document_has_document_metadata,migrate_reviewed_relation,document_has_document_metadata,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
embedding_run_embeds_chunk,migrate_reviewed_relation,embedding_run_embeds_chunk,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
embedding_run_produces_vector,merge_into_reviewed_relation,EmbeddingRun-produces-EmbeddingVector,"[""EmbeddingRun-produces-EmbeddingVector""]",,“embedding_run_produces_vector” and “EmbeddingRun-produces-EmbeddingVector” assert the same verifiable fact; the semantically sharper target is retained with all evidence and examples migrated.,codex-legacy-relation-reviewer,accepted
embeds_chunk,migrate_reviewed_relation,embeds_chunk,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
emits_conversion_warning,merge_into_reviewed_relation,MappingRule-may_emit-ConversionWarning,"[""MappingRule-may_emit-ConversionWarning""]",,“emits_conversion_warning” and “MappingRule-may_emit-ConversionWarning” assert the same verifiable fact; the semantically sharper target is retained with all evidence and examples migrated.,codex-legacy-relation-reviewer,accepted
emits_trace_event,migrate_reviewed_relation,emits_trace_event,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
error_event_classified_by_failure_mode,merge_into_reviewed_relation,ErrorEvent-classified_by-FailureMode,"[""ErrorEvent-classified_by-FailureMode""]",,“error_event_classified_by_failure_mode” and “ErrorEvent-classified_by-FailureMode” assert the same verifiable fact; the semantically sharper target is retained with all evidence and examples migrated.,codex-legacy-relation-reviewer,accepted
escalates,retire_after_endpoint_or_semantic_review,,[],,"The relation was a generated placeholder, used a pseudo endpoint, duplicated taxonomy, or lost its subject after reviewed concept disposition.",codex-legacy-relation-reviewer,accepted
evaluation_run_produces_score,migrate_reviewed_relation,evaluation_run_produces_score,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
evaluation_run_uses_rubric,merge_into_reviewed_relation,EvaluationRun-applies-Rubric,"[""EvaluationRun-applies-Rubric""]",,“evaluation_run_uses_rubric” and “EvaluationRun-applies-Rubric” assert the same verifiable fact; the semantically sharper target is retained with all evidence and examples migrated.,codex-legacy-relation-reviewer,accepted
excluded_from_context,merge_into_reviewed_relation,ContextSelectionDecision-suppresses-SuppressedContext,"[""ContextSelectionDecision-suppresses-SuppressedContext""]",,“excluded_from_context” and “ContextSelectionDecision-suppresses-SuppressedContext” assert the same verifiable fact; the semantically sharper target is retained with all evidence and examples migrated.,codex-legacy-relation-reviewer,accepted
executes_in_sandbox,migrate_reviewed_relation,executes_in_sandbox,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
feedback_derived_from_review_finding,merge_into_reviewed_relation,ReviewFinding-generates-Feedback,"[""ReviewFinding-generates-Feedback""]",,"The legacy assertion is represented once by the retained canonical relation; its former direction is exposed through the reviewed inverse reading.",codex-legacy-relation-reviewer,accepted
feedback_event_carries_feedback,migrate_reviewed_relation,feedback_event_carries_feedback,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
feedback_event_informs_policy_decision,migrate_reviewed_relation,feedback_event_informs_policy_decision,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
feedback_event_targets_optimization_loop,migrate_reviewed_relation,feedback_event_targets_optimization_loop,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
feedback_event_targets_route,migrate_reviewed_relation,feedback_event_targets_route,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
feedback_event_targets_task,migrate_reviewed_relation,feedback_event_targets_task,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
feedback_event_targets_worker,migrate_reviewed_relation,feedback_event_targets_worker,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
feedback_logging_contains,remove_generated_placeholder,,[],,"The relation was a generated placeholder, used a pseudo endpoint, duplicated taxonomy, or lost its subject after reviewed concept disposition.",codex-legacy-relation-reviewer,accepted
feedback_metrics_evaluation_contains,remove_generated_placeholder,,[],,"The relation was a generated placeholder, used a pseudo endpoint, duplicated taxonomy, or lost its subject after reviewed concept disposition.",codex-legacy-relation-reviewer,accepted
feedback_review_optimization_contains,remove_generated_placeholder,,[],,"The relation was a generated placeholder, used a pseudo endpoint, duplicated taxonomy, or lost its subject after reviewed concept disposition.",codex-legacy-relation-reviewer,accepted
feedback_warning_error_contains,remove_generated_placeholder,,[],,"The relation was a generated placeholder, used a pseudo endpoint, duplicated taxonomy, or lost its subject after reviewed concept disposition.",codex-legacy-relation-reviewer,accepted
feeds_back_to,retire_after_endpoint_or_semantic_review,,[],,"The relation was a generated placeholder, used a pseudo endpoint, duplicated taxonomy, or lost its subject after reviewed concept disposition.",codex-legacy-relation-reviewer,accepted
follows,retire_after_endpoint_or_semantic_review,,[],,"The relation was a generated placeholder, used a pseudo endpoint, duplicated taxonomy, or lost its subject after reviewed concept disposition.",codex-legacy-relation-reviewer,accepted
generates,retire_after_endpoint_or_semantic_review,,[],,"The relation was a generated placeholder, used a pseudo endpoint, duplicated taxonomy, or lost its subject after reviewed concept disposition.",codex-legacy-relation-reviewer,accepted
has_access_path,merge_into_reviewed_relation,SourceReference-accessed_via-AccessPath,"[""SourceReference-accessed_via-AccessPath""]",,“has_access_path” and “SourceReference-accessed_via-AccessPath” assert the same verifiable fact; the semantically sharper target is retained with all evidence and examples migrated.,codex-legacy-relation-reviewer,accepted
has_actor_authority_scope,migrate_reviewed_relation,has_actor_authority_scope,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
has_actor_capability_binding,migrate_reviewed_relation,has_actor_capability_binding,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
has_actor_role_binding,migrate_reviewed_relation,has_actor_role_binding,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
has_checksum,migrate_reviewed_relation,has_checksum,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
has_content_block,merge_into_reviewed_relation,Message-contains_content_block-ContentBlock,"[""Message-contains_content_block-ContentBlock""]",,“has_content_block” and “Message-contains_content_block-ContentBlock” assert the same verifiable fact; the semantically sharper target is retained with all evidence and examples migrated.,codex-legacy-relation-reviewer,accepted
has_control_topology,migrate_reviewed_relation,has_control_topology,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
has_exit_status,merge_into_reviewed_relation,CommandOutputObservation-has_exit_status_observation-ExitStatusObservation,"[""CommandOutputObservation-has_exit_status_observation-ExitStatusObservation""]",,“has_exit_status” and “CommandOutputObservation-has_exit_status_observation-ExitStatusObservation” assert the same verifiable fact; the semantically sharper target is retained with all evidence and examples migrated.,codex-legacy-relation-reviewer,accepted
has_instruction_authority,migrate_reviewed_relation,has_instruction_authority,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
has_instruction_priority,migrate_reviewed_relation,has_instruction_priority,[],,"Endpoint, direction, evidence, and non-placeholder semantics were accepted and enriched in the canonical relation contract.",codex-legacy-relation-reviewer,accepted
