data_property_id,action,target_node_id,target_field_id,rationale,reviewer,status
info_output_disclosure_has_evidence_strength,remove_generated_module_boilerplate,,,Evidence strength belongs to individual source-claim confidence and must not be copied into one module-wide scalar.,codex-field-migration-reviewer,accepted
info_output_disclosure_has_state,remove_generated_module_boilerplate,,,Module lifecycle state is already represented by governed Module status and must not be duplicated as a scalar field.,codex-field-migration-reviewer,accepted
info_storage_sources_has_evidence_strength,remove_generated_module_boilerplate,,,Evidence strength belongs to individual source-claim confidence and must not be copied into one module-wide scalar.,codex-field-migration-reviewer,accepted
info_storage_sources_has_state,remove_generated_module_boilerplate,,,Module lifecycle state is already represented by governed Module status and must not be duplicated as a scalar field.,codex-field-migration-reviewer,accepted
memory_chunking_situating_has_evidence_strength,remove_generated_module_boilerplate,,,Evidence strength belongs to individual source-claim confidence and must not be copied into one module-wide scalar.,codex-field-migration-reviewer,accepted
memory_chunking_situating_has_state,remove_generated_module_boilerplate,,,Module lifecycle state is already represented by governed Module status and must not be duplicated as a scalar field.,codex-field-migration-reviewer,accepted
memory_context_has_evidence_strength,remove_generated_module_boilerplate,,,Evidence strength belongs to individual source-claim confidence and must not be copied into one module-wide scalar.,codex-field-migration-reviewer,accepted
memory_context_has_state,remove_generated_module_boilerplate,,,Module lifecycle state is already represented by governed Module status and must not be duplicated as a scalar field.,codex-field-migration-reviewer,accepted
memory_embedding_indexes_has_evidence_strength,remove_generated_module_boilerplate,,,Evidence strength belongs to individual source-claim confidence and must not be copied into one module-wide scalar.,codex-field-migration-reviewer,accepted
memory_embedding_indexes_has_state,remove_generated_module_boilerplate,,,Module lifecycle state is already represented by governed Module status and must not be duplicated as a scalar field.,codex-field-migration-reviewer,accepted
memory_ingestion_has_evidence_strength,remove_generated_module_boilerplate,,,Evidence strength belongs to individual source-claim confidence and must not be copied into one module-wide scalar.,codex-field-migration-reviewer,accepted
memory_ingestion_has_state,remove_generated_module_boilerplate,,,Module lifecycle state is already represented by governed Module status and must not be duplicated as a scalar field.,codex-field-migration-reviewer,accepted
memory_lifecycle_has_evidence_strength,remove_generated_module_boilerplate,,,Evidence strength belongs to individual source-claim confidence and must not be copied into one module-wide scalar.,codex-field-migration-reviewer,accepted
memory_lifecycle_has_state,remove_generated_module_boilerplate,,,Module lifecycle state is already represented by governed Module status and must not be duplicated as a scalar field.,codex-field-migration-reviewer,accepted
memory_retrieval_ranking_has_evidence_strength,remove_generated_module_boilerplate,,,Evidence strength belongs to individual source-claim confidence and must not be copied into one module-wide scalar.,codex-field-migration-reviewer,accepted
memory_retrieval_ranking_has_state,remove_generated_module_boilerplate,,,Module lifecycle state is already represented by governed Module status and must not be duplicated as a scalar field.,codex-field-migration-reviewer,accepted
memory_stores_scopes_has_evidence_strength,remove_generated_module_boilerplate,,,Evidence strength belongs to individual source-claim confidence and must not be copied into one module-wide scalar.,codex-field-migration-reviewer,accepted
memory_stores_scopes_has_state,remove_generated_module_boilerplate,,,Module lifecycle state is already represented by governed Module status and must not be duplicated as a scalar field.,codex-field-migration-reviewer,accepted
orchestration_actors_delegation_has_evidence_strength,remove_generated_module_boilerplate,,,Evidence strength belongs to individual source-claim confidence and must not be copied into one module-wide scalar.,codex-field-migration-reviewer,accepted
orchestration_actors_delegation_has_state,remove_generated_module_boilerplate,,,Module lifecycle state is already represented by governed Module status and must not be duplicated as a scalar field.,codex-field-migration-reviewer,accepted
orchestration_composition_has_evidence_strength,remove_generated_module_boilerplate,,,Evidence strength belongs to individual source-claim confidence and must not be copied into one module-wide scalar.,codex-field-migration-reviewer,accepted
orchestration_composition_has_state,remove_generated_module_boilerplate,,,Module lifecycle state is already represented by governed Module status and must not be duplicated as a scalar field.,codex-field-migration-reviewer,accepted
orchestration_evaluation_has_evidence_strength,remove_generated_module_boilerplate,,,Evidence strength belongs to individual source-claim confidence and must not be copied into one module-wide scalar.,codex-field-migration-reviewer,accepted
orchestration_evaluation_has_state,remove_generated_module_boilerplate,,,Module lifecycle state is already represented by governed Module status and must not be duplicated as a scalar field.,codex-field-migration-reviewer,accepted
orchestration_routing_control_has_evidence_strength,remove_generated_module_boilerplate,,,Evidence strength belongs to individual source-claim confidence and must not be copied into one module-wide scalar.,codex-field-migration-reviewer,accepted
orchestration_routing_control_has_state,remove_generated_module_boilerplate,,,Module lifecycle state is already represented by governed Module status and must not be duplicated as a scalar field.,codex-field-migration-reviewer,accepted
orchestration_task_planning_has_evidence_strength,remove_generated_module_boilerplate,,,Evidence strength belongs to individual source-claim confidence and must not be copied into one module-wide scalar.,codex-field-migration-reviewer,accepted
orchestration_task_planning_has_state,remove_generated_module_boilerplate,,,Module lifecycle state is already represented by governed Module status and must not be duplicated as a scalar field.,codex-field-migration-reviewer,accepted
runtime_actors_has_evidence_strength,remove_generated_module_boilerplate,,,Evidence strength belongs to individual source-claim confidence and must not be copied into one module-wide scalar.,codex-field-migration-reviewer,accepted
runtime_actors_has_state,remove_generated_module_boilerplate,,,Module lifecycle state is already represented by governed Module status and must not be duplicated as a scalar field.,codex-field-migration-reviewer,accepted
runtime_artifacts_has_evidence_strength,remove_generated_module_boilerplate,,,Evidence strength belongs to individual source-claim confidence and must not be copied into one module-wide scalar.,codex-field-migration-reviewer,accepted
runtime_artifacts_has_state,remove_generated_module_boilerplate,,,Module lifecycle state is already represented by governed Module status and must not be duplicated as a scalar field.,codex-field-migration-reviewer,accepted
runtime_observability_has_evidence_strength,remove_generated_module_boilerplate,,,Evidence strength belongs to individual source-claim confidence and must not be copied into one module-wide scalar.,codex-field-migration-reviewer,accepted
runtime_observability_has_state,remove_generated_module_boilerplate,,,Module lifecycle state is already represented by governed Module status and must not be duplicated as a scalar field.,codex-field-migration-reviewer,accepted
runtime_system_has_evidence_strength,remove_generated_module_boilerplate,,,Evidence strength belongs to individual source-claim confidence and must not be copied into one module-wide scalar.,codex-field-migration-reviewer,accepted
runtime_system_has_state,remove_generated_module_boilerplate,,,Module lifecycle state is already represented by governed Module status and must not be duplicated as a scalar field.,codex-field-migration-reviewer,accepted
safety_commit_redaction_has_evidence_strength,remove_generated_module_boilerplate,,,Evidence strength belongs to individual source-claim confidence and must not be copied into one module-wide scalar.,codex-field-migration-reviewer,accepted
safety_commit_redaction_has_state,remove_generated_module_boilerplate,,,Module lifecycle state is already represented by governed Module status and must not be duplicated as a scalar field.,codex-field-migration-reviewer,accepted
safety_injection_defense_has_evidence_strength,remove_generated_module_boilerplate,,,Evidence strength belongs to individual source-claim confidence and must not be copied into one module-wide scalar.,codex-field-migration-reviewer,accepted
safety_injection_defense_has_state,remove_generated_module_boilerplate,,,Module lifecycle state is already represented by governed Module status and must not be duplicated as a scalar field.,codex-field-migration-reviewer,accepted
safety_permission_policy_has_evidence_strength,remove_generated_module_boilerplate,,,Evidence strength belongs to individual source-claim confidence and must not be copied into one module-wide scalar.,codex-field-migration-reviewer,accepted
safety_permission_policy_has_state,remove_generated_module_boilerplate,,,Module lifecycle state is already represented by governed Module status and must not be duplicated as a scalar field.,codex-field-migration-reviewer,accepted
safety_sandbox_network_has_evidence_strength,remove_generated_module_boilerplate,,,Evidence strength belongs to individual source-claim confidence and must not be copied into one module-wide scalar.,codex-field-migration-reviewer,accepted
safety_sandbox_network_has_state,remove_generated_module_boilerplate,,,Module lifecycle state is already represented by governed Module status and must not be duplicated as a scalar field.,codex-field-migration-reviewer,accepted
safety_trust_boundary_has_evidence_strength,remove_generated_module_boilerplate,,,Evidence strength belongs to individual source-claim confidence and must not be copied into one module-wide scalar.,codex-field-migration-reviewer,accepted
safety_trust_boundary_has_state,remove_generated_module_boilerplate,,,Module lifecycle state is already represented by governed Module status and must not be duplicated as a scalar field.,codex-field-migration-reviewer,accepted
tool_discovery_selection_has_evidence_strength,remove_generated_module_boilerplate,,,Evidence strength belongs to individual source-claim confidence and must not be copied into one module-wide scalar.,codex-field-migration-reviewer,accepted
tool_discovery_selection_has_state,remove_generated_module_boilerplate,,,Module lifecycle state is already represented by governed Module status and must not be duplicated as a scalar field.,codex-field-migration-reviewer,accepted
tool_invocation_execution_has_evidence_strength,remove_generated_module_boilerplate,,,Evidence strength belongs to individual source-claim confidence and must not be copied into one module-wide scalar.,codex-field-migration-reviewer,accepted
tool_invocation_execution_has_state,remove_generated_module_boilerplate,,,Module lifecycle state is already represented by governed Module status and must not be duplicated as a scalar field.,codex-field-migration-reviewer,accepted
tool_mcp_transport_has_evidence_strength,remove_generated_module_boilerplate,,,Evidence strength belongs to individual source-claim confidence and must not be copied into one module-wide scalar.,codex-field-migration-reviewer,accepted
tool_mcp_transport_has_state,remove_generated_module_boilerplate,,,Module lifecycle state is already represented by governed Module status and must not be duplicated as a scalar field.,codex-field-migration-reviewer,accepted
tool_registry_definition_has_evidence_strength,remove_generated_module_boilerplate,,,Evidence strength belongs to individual source-claim confidence and must not be copied into one module-wide scalar.,codex-field-migration-reviewer,accepted
tool_registry_definition_has_state,remove_generated_module_boilerplate,,,Module lifecycle state is already represented by governed Module status and must not be duplicated as a scalar field.,codex-field-migration-reviewer,accepted
