"semantic_key","cq_id","primary_owner_module_id","related_module_ids","question_zh","reviewer","review_status"
"info-prompts-instructions.template-instantiation","info-prompts-instructions-cq-template-instantiation-v3","info-prompts-instructions","info-content-block-modality","某个 PromptTemplateInstance 实例化了哪个模板，变量绑定和内容块是否满足模板约束？","moonweave-ontology-structure-reviewer","accepted"
"info-prompts-instructions.authority-resolution","info-prompts-instructions-cq-authority-resolution-v3","info-prompts-instructions","safety-injection-defense","相互冲突的系统、开发者、用户和覆盖指令按何种权威、作用域与优先级得到最终解析？","moonweave-ontology-structure-reviewer","accepted"
"info-prompts-instructions.message-carriage","info-prompts-instructions-cq-message-carriage-v3","info-prompts-instructions","info-messages-instructions","一条消息承载了哪些指令或提示内容，哪些普通内容块不产生规范约束？","moonweave-ontology-structure-reviewer","accepted"
"info-storage-sources.precise-resolution","info-storage-sources-cq-precise-resolution-v3","info-storage-sources","memory-ingestion","一个来源引用能否解析到唯一对象版本和精确行、页、单元格或文本跨度？","moonweave-ontology-structure-reviewer","accepted"
"info-storage-sources.identity-verification","info-storage-sources-cq-identity-verification-v3","info-storage-sources","runtime-artifacts","引用记录的版本、摘要和校验和是否与当前取回对象一致，若不一致是哪一项漂移？","moonweave-ontology-structure-reviewer","accepted"
"info-storage-sources.reference-versus-referent","info-storage-sources-cq-reference-versus-referent-v3","info-storage-sources","memory-ingestion","查询结果中的对象是来源引用、位置值，还是被引用的实际资源，canonical owner 分别是谁？","moonweave-ontology-structure-reviewer","accepted"
"memory-chunking-situating.source-reconstruction","memory-chunking-situating-cq-source-reconstruction-v3","memory-chunking-situating","memory-ingestion","一组 Chunk 能否按来源跨度无重叠冲突地还原目标文档范围，缺口在哪里？","moonweave-ontology-structure-reviewer","accepted"
"memory-chunking-situating.run-parameters","memory-chunking-situating-cq-run-parameters-v3","memory-chunking-situating","memory-embedding-indexes","某个 Chunk 由哪次分块运行产生，使用了什么边界策略、重叠量和源版本？","moonweave-ontology-structure-reviewer","accepted"
"memory-chunking-situating.contextualization-fidelity","memory-chunking-situating-cq-contextualization-fidelity-v3","memory-chunking-situating","memory-context","语境化或压缩后的 Chunk 保留了哪些原文主张，新增背景能否与来源内容区分？","moonweave-ontology-structure-reviewer","accepted"
"memory-context.version-membership","memory-context-cq-version-membership-v3","memory-context","info-messages-instructions","某个不可变 ContextPackage 按顺序包含哪些 ContextSlot，每个 Slot 引用哪个来源与候选证据？","moonweave-ontology-structure-reviewer","accepted"
"memory-context.budget-accounting","memory-context-cq-budget-accounting-v3","memory-context","info-output-disclosure","组装活动如何在 token、长度和优先级预算下选择或裁剪候选，未纳入项为何被排除？","moonweave-ontology-structure-reviewer","accepted"
"memory-context.refresh-versioning","memory-context-cq-refresh-versioning-v3","memory-context","info-indexing","来源失效或新候选到达后，ContextRefreshEvent 产生了哪个新 ContextPackage，旧版本是否保持不可变？","moonweave-ontology-structure-reviewer","accepted"
"memory-embedding-indexes.representation-lineage","memory-embedding-indexes-cq-representation-lineage-v3","memory-embedding-indexes","runtime-actors","一个 Embedding 由哪个内容版本、模型版本、参数和表示运行生成？","moonweave-ontology-structure-reviewer","accepted"
"memory-embedding-indexes.entry-version-membership","memory-embedding-indexes-cq-entry-version-membership-v3","memory-embedding-indexes","memory-stores-scopes","某个 IndexEntry 属于哪个分片和索引版本，它引用的内容与表示是否兼容？","moonweave-ontology-structure-reviewer","accepted"
"memory-embedding-indexes.refresh-visibility","memory-embedding-indexes-cq-refresh-visibility-v3","memory-embedding-indexes","memory-retrieval-ranking","一次索引刷新新增、替换或删除了哪些条目，检索从哪个提交点开始可见？","moonweave-ontology-structure-reviewer","accepted"
"memory-ingestion.loader-selection","memory-ingestion-cq-loader-selection-v3","memory-ingestion","info-storage-sources","给定来源媒体类型、访问方式和安全约束，应选择哪个 Loader 与接入策略？","moonweave-ontology-structure-reviewer","accepted"
"memory-ingestion.deduplication-decision","memory-ingestion-cq-deduplication-decision-v3","memory-ingestion","memory-stores-scopes","新内容与已有记忆对象是完全重复、版本更新还是独立记录，依据哪些身份键？","moonweave-ontology-structure-reviewer","accepted"
"memory-ingestion.provenance-chain","memory-ingestion-cq-provenance-chain-v3","memory-ingestion","memory-chunking-situating","一份已接入文档由哪个来源、哪次 DocumentLoader 运行和哪些规范化步骤产生？","moonweave-ontology-structure-reviewer","accepted"
"memory-lifecycle.version-lineage","memory-lifecycle-cq-version-lineage-v3","memory-lifecycle","memory-stores-scopes","某个记忆实体版本由哪项操作从哪些前驱版本产生，actor、reason 和 policy 是什么？","moonweave-ontology-structure-reviewer","accepted"
"memory-lifecycle.expiry-eviction-distinction","memory-lifecycle-cq-expiry-eviction-distinction-v3","memory-lifecycle","memory-stores-scopes","一个记忆对象为何不可用：达到到期条件、因容量被驱逐、被删除还是被新版本替代？","moonweave-ontology-structure-reviewer","accepted"
"memory-lifecycle.consolidation-conflict","memory-lifecycle-cq-consolidation-conflict-v3","memory-lifecycle","feedback-review-optimization","合并或巩固多个记忆时发现了哪些冲突，哪些主张被保留、替代或标记待审？","moonweave-ontology-structure-reviewer","accepted"
"memory-retrieval-ranking.replay","memory-retrieval-ranking-cq-replay-v3","memory-retrieval-ranking","memory-embedding-indexes","给定 RetrievalTrace，能否用相同查询、过滤器、索引版本和模型重现候选与排名？","moonweave-ontology-structure-reviewer","accepted"
"memory-retrieval-ranking.score-explanation","memory-retrieval-ranking-cq-score-explanation-v3","memory-retrieval-ranking","memory-context","某个已检索 Chunk 为何位于当前名次，各评分、融合权重和重排依据是什么？","moonweave-ontology-structure-reviewer","accepted"
"memory-retrieval-ranking.candidate-result-separation","memory-retrieval-ranking-cq-candidate-result-separation-v3","memory-retrieval-ranking","info-indexing","哪些候选在评分或重排后被淘汰，哪些成为最终 RetrievalResult，二者身份是否混淆？","moonweave-ontology-structure-reviewer","accepted"
"memory-stores-scopes.composable-facets","memory-stores-scopes-cq-composable-facets-v3","memory-stores-scopes","memory-lifecycle","一个记忆对象同时具有哪种知识类型、时长、作用域和保留要求，组合是否被允许？","moonweave-ontology-structure-reviewer","accepted"
"memory-stores-scopes.storage-location","memory-stores-scopes-cq-storage-location-v3","memory-stores-scopes","memory-embedding-indexes","某个 MemoryEntity 当前存在哪个 Store 和 Namespace，物理后端与逻辑作用域如何对应？","moonweave-ontology-structure-reviewer","accepted"
"memory-stores-scopes.backend-versus-index","memory-stores-scopes-cq-backend-versus-index-v3","memory-stores-scopes","memory-embedding-indexes","一个对象是存储后端、索引结构还是索引条目，为什么 VectorDatabase 不应归为 Index 子类？","moonweave-ontology-structure-reviewer","accepted"
"orchestration-actors-delegation.active-role-bindings","orchestration-actors-delegation-cq-active-role-bindings-v3","orchestration-actors-delegation","runtime-actors","在指定任务与时间点，哪些运行主体承担编排者、工作者或审查者角色？","moonweave-ontology-structure-reviewer","accepted"
"orchestration-actors-delegation.role-not-actor","orchestration-actors-delegation-cq-role-not-actor-v3","orchestration-actors-delegation","runtime-actors","Orchestrator、Subagent 和 Worker 是否都建模为角色而非永久 Actor 子类？","moonweave-ontology-structure-reviewer","accepted"
"orchestration-actors-delegation.team-coverage","orchestration-actors-delegation-cq-team-coverage-v3","orchestration-actors-delegation","orchestration-composition","一个协作拓扑要求的角色是否都已绑定，是否有冲突绑定或无人承担的职责？","moonweave-ontology-structure-reviewer","accepted"
"orchestration-composition.topology-expansion","orchestration-composition-cq-topology-expansion-v3","orchestration-composition","orchestration-routing-control","一个组合模式展开后有哪些有序阶段、并行分支或投票与综合组件，入口和汇合点在哪里？","moonweave-ontology-structure-reviewer","accepted"
"orchestration-composition.pattern-validity","orchestration-composition-cq-pattern-validity-v3","orchestration-composition","orchestration-task-planning","某个拓扑是否满足所声明 Chain、Parallel、Voting 或 Synthesis 模式的结构约束？","moonweave-ontology-structure-reviewer","accepted"
"orchestration-composition.synthesis-provenance","orchestration-composition-cq-synthesis-provenance-v3","orchestration-composition","runtime-artifacts","综合输出由哪些分支输入、投票或聚合活动产生，能否追溯每项贡献？","moonweave-ontology-structure-reviewer","accepted"
"orchestration-delegation-handoff.process-state","orchestration-delegation-handoff-cq-process-state-v3","orchestration-delegation-handoff","orchestration-actors-delegation","某次委派当前处于发起、接受、撤销还是完成阶段，哪条事件使状态生效？","moonweave-ontology-structure-reviewer","accepted"
"orchestration-delegation-handoff.worker-selection","orchestration-delegation-handoff-cq-worker-selection-v3","orchestration-delegation-handoff","tool-discovery-selection","候选工作者经过哪些可用性、能力和约束判断后被选择，落选原因是什么？","moonweave-ontology-structure-reviewer","accepted"
"orchestration-delegation-handoff.responsibility-transfer","orchestration-delegation-handoff-cq-responsibility-transfer-v3","orchestration-delegation-handoff","runtime-actors","移交前后谁拥有任务控制权和结果责任，未被移交的权限或预算有哪些？","moonweave-ontology-structure-reviewer","accepted"
"orchestration-evaluation.phase-order","orchestration-evaluation-cq-phase-order-v3","orchestration-evaluation","feedback-metrics-evaluation","某次改进循环按何种顺序调度评估、反馈、修订和复验，当前位于哪一阶段？","moonweave-ontology-structure-reviewer","accepted"
"orchestration-evaluation.retry-stop","orchestration-evaluation-cq-retry-stop-v3","orchestration-evaluation","orchestration-routing-control","评估未达标后应修订重试还是停止，次数、预算和改善幅度阈值如何共同决定？","moonweave-ontology-structure-reviewer","accepted"
"orchestration-evaluation.content-reference","orchestration-evaluation-cq-content-reference-v3","orchestration-evaluation","feedback-review-optimization","循环中的 EvaluationAttempt 和 RevisionAttempt 分别引用了哪些评估结果与 Finding，而没有复制其内容语义？","moonweave-ontology-structure-reviewer","accepted"
"orchestration-routing-control.route-decision","orchestration-routing-control-cq-route-decision-v3","orchestration-routing-control","orchestration-composition","给定当前状态与候选路径，哪项条件评估产生了哪个 RoutingDecision 和 RoutingTarget？","moonweave-ontology-structure-reviewer","accepted"
"orchestration-routing-control.gate-outcome","orchestration-routing-control-cq-gate-outcome-v3","orchestration-routing-control","safety-permission-policy","某个 ControlGate 为何允许、拒绝或暂缓下游操作，所需证据是否齐全？","moonweave-ontology-structure-reviewer","accepted"
"orchestration-routing-control.retry-stop","orchestration-routing-control-cq-retry-stop-v3","orchestration-routing-control","runtime-execution-attempts","一次失败后应重试还是停止，剩余次数、退避、终止证据和新 RunAttempt 如何确定？","moonweave-ontology-structure-reviewer","accepted"
"orchestration-task-planning.goal-realization","orchestration-task-planning-cq-goal-realization-v3","orchestration-task-planning","runtime-execution-attempts","某个 Goal 由哪份工作规约定义，并由哪些 TaskPlan、Task 和 TaskStep 逐层实现？","moonweave-ontology-structure-reviewer","accepted"
"orchestration-task-planning.readiness","orchestration-task-planning-cq-readiness-v3","orchestration-task-planning","orchestration-routing-control","一个 Task 在什么前置条件和依赖满足后可开始，哪些完成标准决定它结束？","moonweave-ontology-structure-reviewer","accepted"
"orchestration-task-planning.definition-versus-attempt","orchestration-task-planning-cq-definition-versus-attempt-v3","orchestration-task-planning","runtime-execution-attempts","查询中的对象是可复用 Task 定义还是某次 RunAttempt，二者如何通过 realizes 关联？","moonweave-ontology-structure-reviewer","accepted"
"runtime-actors.session-participants","runtime-actors-cq-session-participants-v3","runtime-actors","runtime-system","某个 RuntimeSession 中有哪些人类、智能体和服务参与者，各自绑定了哪些模型与能力？","moonweave-ontology-structure-reviewer","accepted"
"runtime-actors.actor-role-separation","runtime-actors-cq-actor-role-separation-v3","runtime-actors","orchestration-actors-delegation","一个 AgentActor 当前承担哪些协作角色，角色变化是否保持 Actor 身份不变？","moonweave-ontology-structure-reviewer","accepted"
"runtime-actors.model-binding-provenance","runtime-actors-cq-model-binding-provenance-v3","runtime-actors","memory-embedding-indexes","一次生成、嵌入或重排活动实际使用了哪个 Model 版本、配置和提供方绑定？","moonweave-ontology-structure-reviewer","accepted"
"runtime-artifacts.provenance","runtime-artifacts-cq-provenance-v3","runtime-artifacts","runtime-execution-attempts","某个产物版本由哪次 RunAttempt 使用哪些输入生成，并派生自哪些先前产物版本？","moonweave-ontology-structure-reviewer","accepted"
"runtime-artifacts.version-identity","runtime-artifacts-cq-version-identity-v3","runtime-artifacts","info-storage-sources","两个同名产物是同一版本、不同版本还是不同产物，哪些身份键和摘要决定结论？","moonweave-ontology-structure-reviewer","accepted"
"runtime-artifacts.status-not-subtype","runtime-artifacts-cq-status-not-subtype-v3","runtime-artifacts","feedback-review-optimization","一个产物当前是草稿、待审还是最终状态，状态变化是否未生成 DraftArtifact 或 FinalArtifact 伪类？","moonweave-ontology-structure-reviewer","accepted"
"runtime-execution-attempts.attempt-lineage","runtime-execution-attempts-cq-attempt-lineage-v3","runtime-execution-attempts","orchestration-routing-control","一次 Execution 有哪些按序 Attempt，哪些是重试，它们分别由什么失败和策略触发？","moonweave-ontology-structure-reviewer","accepted"
"runtime-execution-attempts.result-outcome","runtime-execution-attempts-cq-result-outcome-v3","runtime-execution-attempts","feedback-warning-error","某次 Attempt 产生了什么 Result，其 Outcome 为成功、失败还是取消，判断证据是什么？","moonweave-ontology-structure-reviewer","accepted"
"runtime-execution-attempts.budget-accounting","runtime-execution-attempts-cq-budget-accounting-v3","runtime-execution-attempts","tool-invocation-execution","某项 Execution 在各次 Attempt 中消耗了多少时间、成本、token 和调用额度，是否超过预算？","moonweave-ontology-structure-reviewer","accepted"
"runtime-observability.trace-causality","runtime-observability-cq-trace-causality-v3","runtime-observability","runtime-execution-attempts","某次 RunAttempt 对应哪些 TraceSpan 和 TraceEvent，父子、链接与时间顺序是否一致？","moonweave-ontology-structure-reviewer","accepted"
"runtime-observability.checkpoint-recovery","runtime-observability-cq-checkpoint-recovery-v3","runtime-observability","runtime-system","一个 Checkpoint 捕获了哪个状态快照，恢复或回放从何处开始并产生了什么差异？","moonweave-ontology-structure-reviewer","accepted"
"runtime-observability.trace-versus-log","runtime-observability-cq-trace-versus-log-v3","runtime-observability","feedback-logging","一个对象是原始 TraceEvent、记录该事件的 LogRecord，还是将其导出的 TraceExport？","moonweave-ontology-structure-reviewer","accepted"
"runtime-system.session-state","runtime-system-cq-session-state-v3","runtime-system","runtime-execution-attempts","某个 RuntimeSession 当前处于启动、活跃、暂停还是结束状态，哪条生命周期事件支持判断？","moonweave-ontology-structure-reviewer","accepted"
"runtime-system.environment-binding","runtime-system-cq-environment-binding-v3","runtime-system","safety-sandbox-network","一个 AgentSystem 在哪个实际环境和工作目录运行，环境是否引用了获准的隔离规范？","moonweave-ontology-structure-reviewer","accepted"
"runtime-system.session-attempt-membership","runtime-system-cq-session-attempt-membership-v3","runtime-system","runtime-execution-attempts","某次执行尝试属于哪个会话，会话暂停或结束后是否仍错误地产生新尝试？","moonweave-ontology-structure-reviewer","accepted"
"safety-commit-redaction.gate-decision","safety-commit-redaction-cq-gate-decision-v3","safety-commit-redaction","safety-permission-policy","某项副作用请求是否获得所需授权、审批和预览证据，提交门为何允许或拒绝？","moonweave-ontology-structure-reviewer","accepted"
"safety-commit-redaction.effect-idempotency","safety-commit-redaction-cq-effect-idempotency-v3","safety-commit-redaction","tool-invocation-execution","同一幂等键的请求是否只产生一次 SideEffect，重复调用如何被识别和处理？","moonweave-ontology-structure-reviewer","accepted"
"safety-commit-redaction.rollback-verification","safety-commit-redaction-cq-rollback-verification-v3","safety-commit-redaction","runtime-observability","副作用失败后执行了什么补偿或 Rollback，外部状态是否恢复到可验证目标？","moonweave-ontology-structure-reviewer","accepted"
"safety-disclosure-redaction.sensitive-span","safety-disclosure-redaction-cq-sensitive-span-v3","safety-disclosure-redaction","info-content-block-modality","指定受众下哪些内容跨度属于哪种敏感级别，检测证据和适用规则是什么？","moonweave-ontology-structure-reviewer","accepted"
"safety-disclosure-redaction.transformation-integrity","safety-disclosure-redaction-cq-transformation-integrity-v3","safety-disclosure-redaction","info-output-disclosure","脱敏输出是否只改变规则命中的跨度，并保持其余内容顺序和来源映射？","moonweave-ontology-structure-reviewer","accepted"
"safety-disclosure-redaction.audit-disclosure","safety-disclosure-redaction-cq-audit-disclosure-v3","safety-disclosure-redaction","feedback-logging","谁在何种授权下看到了哪类敏感信息或脱敏结果，审计记录是否完整？","moonweave-ontology-structure-reviewer","accepted"
"safety-injection-defense.taint-provenance","safety-injection-defense-cq-taint-provenance-v3","safety-injection-defense","memory-ingestion","某段内容为何被标记为 Taint，污点从哪个来源经哪些转换传播到当前对象？","moonweave-ontology-structure-reviewer","accepted"
