concept_id,current_plane_id,current_module_id,current_kind,decision,proposed_kind,primary_parent_relation_id,additional_parent_relation_ids,target_plane_id,target_module_id,target_concept_id,convert_to_field_id,convert_to_allowed_value_of,merge_into_id,replaced_by_id,definition_action,example_action,source_action,required_new_relation_ids,rationale,reviewer,review_status
CandidateRank,info-plane,info-indexing,resource_type,retype,quality,,,info-plane,info-indexing,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,[],"候选排名是特定发现运行中对候选顺序位置的观测质量，不是索引、结果或候选的子类；保留概念以承载方法与证据。 / Candidate rank is an observed quality of ordinal position in a particular discovery run, not a subtype of index, result, or candidate; it remains a concept to carry method and evidence.",codex-info-ontology-reviewer,accepted
CandidateSet,memory-plane,memory-retrieval-ranking,resource_type,keep_reparent,collection,CandidateSet-is_a-RetrievalArtifact,,memory-plane,memory-retrieval-ranking,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""CandidateSet-is_a-RetrievalArtifact""]","CandidateSet 是一次查询产生的有界 RetrievalArtifact 集合，与成员 CandidateChunk 分开建模。 / A CandidateSet is a bounded collection-valued RetrievalArtifact produced for one query, distinct from member CandidateChunks.",codex-memory-ontology-reviewer,accepted
CapabilityCandidate,tool-plane,tool-discovery-selection,resource_type,keep_reparent,information,CapabilityCandidate-is_a-Candidate,,tool-plane,tool-discovery-selection,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""CapabilityCandidate-is_a-Candidate""]",能力候选是在 Candidate 上限定候选对象为能力的一种候选记录。 / A capability candidate is a Candidate whose considered object is a capability.,codex-tool-feedback-ontology-reviewer,accepted
CapabilityDescriptor,tool-plane,tool-registry-definition,resource_type,keep_reparent,information,CapabilityDescriptor-is_a-ToolMetadata,,tool-plane,tool-registry-definition,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""CapabilityDescriptor-is_a-ToolMetadata""]",能力描述符是带独立来源和版本的机器可读工具元数据。 / A capability descriptor is machine-readable ToolMetadata with independent provenance and versioning.,codex-tool-feedback-ontology-reviewer,accepted
CapabilityGrant,safety-plane,safety-permission-policy,policy_type,keep_reparent,information,CapabilityGrant-is_a-AuthorizationGrant,,safety-plane,safety-permission-policy,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""CapabilityGrant-is_a-AuthorizationGrant""]",能力授予是把授权限制到明确能力表面的 AuthorizationGrant。 / CapabilityGrant is an AuthorizationGrant distinguished by limiting authority to an explicit capability surface.,codex-safety-adapter-ontology-reviewer,accepted
CapabilitySelectionDecision,tool-plane,tool-discovery-selection,event_type,keep_reparent,information,CapabilitySelectionDecision-is_a-SelectionDecision,,tool-plane,tool-discovery-selection,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""CapabilitySelectionDecision-is_a-SelectionDecision""]",能力选择决定是以能力候选为对象的一种 SelectionDecision。 / A capability selection decision is a SelectionDecision over capability candidates.,codex-tool-feedback-ontology-reviewer,accepted
CapabilitySurface,tool-plane,tool-registry-definition,object_type,retype,collection,,,tool-plane,tool-registry-definition,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,[],"能力表面是发布多个定义和描述符的集合，不是 Tool 或 Capability 的子类。 / A capability surface is a collection publishing definitions and descriptors, not a subtype of Tool or Capability.",codex-tool-feedback-ontology-reviewer,accepted
ChainStage,orchestration-plane,orchestration-composition,resource_type,keep_reparent,specification,ChainStage-is_a-CompositionPart,,orchestration-plane,orchestration-composition,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""ChainStage-is_a-CompositionPart""]","链阶段是以提示链中的顺序位置、输入、输出和守卫为区分特征的一种组合部件。 / A ChainStage is a CompositionPart distinguished by its ordered position, input, output, and guard in a prompt chain.",codex-runtime-orchestration-ontology-reviewer,accepted
Checkpoint,runtime-plane,runtime-observability,resource_type,keep_reparent,information,Checkpoint-is_a-StateRecord,,runtime-plane,runtime-observability,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""Checkpoint-is_a-StateRecord""]",检查点是一种附带恢复标识与一致性边界的状态记录。 / A Checkpoint is a StateRecord distinguished by a recovery identity and consistency boundary.,codex-runtime-orchestration-ontology-reviewer,accepted
CheckpointRestoreEvent,runtime-plane,runtime-observability,event_type,keep_reparent,event,CheckpointRestoreEvent-is_a-ObservabilityEvent,,runtime-plane,runtime-observability,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""CheckpointRestoreEvent-is_a-ObservabilityEvent""]",检查点恢复事件是以从既有检查点重建运行状态为区分特征的一种可观测事件。 / A checkpoint-restore event is an ObservabilityEvent distinguished by rebuilding runtime state from an existing checkpoint.,codex-runtime-orchestration-ontology-reviewer,accepted
Chunk,memory-plane,memory-chunking-situating,resource_type,keep_reparent,information,Chunk-is_a-ChunkArtifact,,memory-plane,memory-chunking-situating,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""Chunk-is_a-ChunkArtifact""]",任一 Chunk 都是保留来源跨度、边界和检索元数据的 ChunkArtifact。 / Every Chunk is a ChunkArtifact distinguished by a bounded source span and retrieval metadata.,codex-memory-ontology-reviewer,accepted
ChunkBoundary,memory-plane,memory-chunking-situating,resource_type,keep_reparent,information,ChunkBoundary-is_a-ChunkMetadata,,memory-plane,memory-chunking-situating,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""ChunkBoundary-is_a-ChunkMetadata""]","分块边界是描述起止偏移、页行范围或语义断点的 ChunkMetadata。 / A ChunkBoundary is ChunkMetadata specifying offsets, page or line ranges, or semantic breaks.",codex-memory-ontology-reviewer,accepted
ChunkCompression,memory-plane,memory-chunking-situating,resource_type,retype,activity,ChunkCompression-is_a-ChunkProcessingActivity,,memory-plane,memory-chunking-situating,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""ChunkCompression-is_a-ChunkProcessingActivity""]","旧定义的“压缩产物”会混淆输入与过程；裁决为保留来源锚点并产生新 Chunk 的活动，而产物仍是 Chunk。 / The legacy 'compression artifact' wording conflates process and output; this is reviewed as an activity that preserves source anchors and produces a new Chunk, whose output remains a Chunk.",codex-memory-ontology-reviewer,accepted
ChunkContextNote,memory-plane,memory-chunking-situating,resource_type,keep_reparent,information,ChunkContextNote-is_a-ChunkMetadata,,memory-plane,memory-chunking-situating,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""ChunkContextNote-is_a-ChunkMetadata""]","该注记是说明局部章节、周边语境或检索相关性的 ChunkMetadata。 / A ChunkContextNote is ChunkMetadata explaining local section, surrounding context, or retrieval relevance.",codex-memory-ontology-reviewer,accepted
ChunkingRun,memory-plane,memory-chunking-situating,event_type,keep_reparent,activity,ChunkingRun-is_a-ChunkProcessingActivity,,memory-plane,memory-chunking-situating,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""ChunkingRun-is_a-ChunkProcessingActivity""]",分块运行是按策略把文档划分为可检索 Chunk 的 ChunkProcessingActivity。 / A ChunkingRun is a ChunkProcessingActivity that partitions a Document into retrievable Chunks under a strategy.,codex-memory-ontology-reviewer,accepted
ChunkOverlap,memory-plane,memory-chunking-situating,resource_type,keep_reparent,information,ChunkOverlap-is_a-ChunkMetadata,,memory-plane,memory-chunking-situating,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""ChunkOverlap-is_a-ChunkMetadata""]","重叠量和共享跨度是相邻分块的结构元数据，不是分块或活动。 / The overlap amount and shared span are structural ChunkMetadata for adjacent chunks, not a chunk or activity.",codex-memory-ontology-reviewer,accepted
ChunkProvenance,memory-plane,memory-chunking-situating,resource_type,keep_reparent,information,ChunkProvenance-is_a-ChunkMetadata,,memory-plane,memory-chunking-situating,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""ChunkProvenance-is_a-ChunkMetadata""]","来源记录是连接文档版本、跨度、校验和、摄入与变换历史的 ChunkMetadata。 / ChunkProvenance is ChunkMetadata linking document version, span, checksum, ingestion, and transformation history.",codex-memory-ontology-reviewer,accepted
ChunkQualitySignal,memory-plane,memory-chunking-situating,resource_type,keep_reparent,information,ChunkQualitySignal-is_a-ChunkMetadata,,memory-plane,memory-chunking-situating,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""ChunkQualitySignal-is_a-ChunkMetadata""]","质量信号是记录解析完整性、重复、陈旧或毒性证据的 ChunkMetadata，而非 Chunk 的种类。 / A ChunkQualitySignal is ChunkMetadata recording parsing, duplication, staleness, or toxicity evidence rather than a kind of Chunk.",codex-memory-ontology-reviewer,accepted
ChunkReference,memory-plane,memory-chunking-situating,resource_type,keep_reparent,information,ChunkReference-is_a-ChunkArtifact,,memory-plane,memory-chunking-situating,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""ChunkReference-is_a-ChunkArtifact""]",分块引用是可独立传递且指向确切 Chunk/来源跨度的 ChunkArtifact，不复制被引节点。 / A ChunkReference is a transferable ChunkArtifact pointing to an exact Chunk and source span without copying it.,codex-memory-ontology-reviewer,accepted
CitationAnchor,info-plane,info-storage-sources,resource_type,keep_reparent,information,CitationAnchor-is_a-SourceAnchor,,info-plane,info-storage-sources,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""CitationAnchor-is_a-SourceAnchor""]",任一引用锚都是专门为一项可见主张绑定精确 SourceSpan 的 SourceAnchor。 / Every CitationAnchor is a SourceAnchor specialized to bind a visible claim to a precise SourceSpan.,codex-info-ontology-reviewer,accepted
CodeBlock,info-plane,info-content-block-modality,resource_type,keep_reparent,information,CodeBlock-is_a-ContentBlock,,info-plane,info-content-block-modality,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""CodeBlock-is_a-ContentBlock""]","任一代码块都是载荷按源代码、补丁、堆栈或命令语法解释的 ContentBlock。 / Every CodeBlock is a ContentBlock interpreted as source code, a patch, a stack trace, or command syntax.",codex-info-ontology-reviewer,accepted
Command,tool-plane,tool-invocation-execution,action_type,keep_reparent,activity,Command-is_a-Invocation,,tool-plane,tool-invocation-execution,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""Command-is_a-Invocation""]","Command 是通过命令运行表面发起操作的一种 Invocation，不是命令定义或执行结果。 / A Command is an Invocation through a command-runtime surface, not a command definition or execution result.",codex-tool-feedback-ontology-reviewer,accepted
CommandArea,tool-plane,tool-invocation-execution,object_type,convert_to_field,,,,tool-plane,tool-invocation-execution,Command,execution_area,,,,migrate definition into reviewed target information,explain disposition in target field or Concept,convert legacy source IDs into direct reviewed source claims,[],执行区域只是命令的工作目录/表面范围，没有独立身份，迁为 Command 字段。 / The execution area is a command working-directory/surface scope without independent identity and becomes a Command field.,codex-tool-feedback-ontology-reviewer,accepted
CommandArgument,tool-plane,tool-invocation-execution,action_type,convert_to_field,,,,tool-plane,tool-invocation-execution,Command,arguments,,,,migrate definition into reviewed target information,explain disposition in target field or Concept,convert legacy source IDs into direct reviewed source claims,[],参数是 Command 的绑定值，作为可重复结构字段表达比图节点更准确。 / An argument is a bound value of Command and is represented more accurately as a repeatable structure field.,codex-tool-feedback-ontology-reviewer,accepted
CommandExecution,runtime-plane,runtime-observability,event_type,retype,activity,,,runtime-plane,runtime-observability,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,[],"命令执行是被追踪记录观测的运行活动；活动不是记录、跨度或事件记录的子类。 / CommandExecution is a runtime activity observed by trace records; an activity is not a subtype of a record, span, or recorded event.",codex-runtime-orchestration-ontology-reviewer,accepted
CommandExitStatus,info-plane,info-container-command,action_type,convert_to_field,,,,info-plane,info-container-command,ExitStatusObservation,exit_status,,,,migrate definition into reviewed target information,explain disposition in target field or Concept,convert legacy source IDs into direct reviewed source claims,[],"退出码或终止状态是 ExitStatusObservation 的标量观测值，不具独立业务身份；字段化后仍可记录代码、信号和原因。 / An exit code or termination status is a scalar observed value of ExitStatusObservation without independent business identity; a field can still record code, signal, and reason.",codex-info-ontology-reviewer,accepted
CommandOutputObservation,info-plane,info-container-command,action_type,keep_reparent,information,CommandOutputObservation-is_a-ExecutionObservation,,info-plane,info-container-command,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""CommandOutputObservation-is_a-ExecutionObservation""]",任一命令输出观测都是对执行所产生可见输出的 ExecutionObservation，区分特征是观测对象为命令输出。 / Every CommandOutputObservation is an ExecutionObservation whose observed subject is visible command output.,codex-info-ontology-reviewer,accepted
