"module_id","label_zh","key_notion","primary_cq_ids","owns_when","references_when","input_family_ids","output_family_ids","failure_family_ids","recovery_family_ids","overlap_module_ids","overlap_concept_ids","decision","reviewer","review_status"
"feedback-warning-error","故障与诊断","诊断信号","feedback-warning-error-cq-signal-to-failure-v3|feedback-warning-error-cq-mode-versus-occurrence-v3|feedback-warning-error-cq-resolution-evidence-v3","当事实表达对异常的诊断解释、可重复故障机制或已验证处置结果，而非仅记录运行中发生了什么时，在此拥有。","运行追踪、评审或优化需要说明某个事件为何被视为故障及如何解决时，引用这里的诊断实体。","ErrorEvent|WarningEvent","DiagnosticMessage|Warning","BlockingError|FailureMode","RecoveryPlan","runtime-observability|runtime-execution-attempts|feedback-review-optimization","ErrorEvent|ErrorStream|SpanStatus|TraceEvent|BlockingError|FailureEvent|RunAttempt|RunResult|RecoveryAction|ReviewFinding|ConfidenceSignal","keep","moonweave-ontology-structure-reviewer","accepted"
"info-container-command","执行观测","执行观测","info-container-command-cq-ordered-output-v3|info-container-command-cq-exit-status-evidence-v3|info-container-command-cq-context-admission-v3","当对象的身份由某次执行的输出通道、分块顺序、退出状态或进入上下文的观测接纳决定时，在此拥有。","运行追踪、诊断或上下文组装消费执行输出证据而不改变其通道和顺序身份时，引用这里的观测。","ExecutionResult|TraceEvent","CommandOutputObservation|ContextPackage","StandardErrorChunk","","runtime-observability|runtime-execution-attempts|feedback-warning-error|memory-context","CommandOutputObservation|OutputChunk|CommandExecution|TraceEvent|ContextIngressEvent|RunOutcome|RunResult|DiagnosticMessage|FailureEvent|StandardError|ContextPackage|ContextSummary","keep","moonweave-ontology-structure-reviewer","accepted"
"info-content-block-modality","内容表示","内容块","info-content-block-modality-cq-block-classification-v3|info-content-block-modality-cq-message-containment-v3|info-content-block-modality-cq-attachment-integrity-v3","当对象可由内容载体类型、编码边界和块级结构独立识别，而不依赖其所在消息或用途时，在此拥有。","消息、提示、记忆分块或输出披露需要表达具体内容形式时，引用 ContentBlock 或其专门类型。","","","","","info-messages-instructions|info-storage-sources","MessageContentBlock|TextBlock|ConversationTurn|Message|AudioBlock|FileAttachmentBlock|SourceIdentity|SourceSpan","keep","moonweave-ontology-structure-reviewer","accepted"
"info-indexing","上下文发现","发现活动","info-indexing-cq-session-candidate-provenance-v3|info-indexing-cq-light-index-view-v3|info-indexing-cq-discovery-versus-retrieval-v3","当对象由一个交互会话内的 DiscoveryActivity、DiscoveryResult、CandidateRank 或 DiscoveryScore 识别，且不建立持久索引身份时，在此拥有。","上下文组装消费 DiscoveryResult，或 DiscoveryActivity 通过 LightIndex 读取持久索引时，分别引用发现结果与 IndexVersion。","LightIndex","DiscoveryResult|LightweightRetrievalTrace","","","memory-retrieval-ranking|memory-context|memory-embedding-indexes","DiscoveryResult|DiscoveryScore|RetrievalScore|RetrievedCandidate|DiscoveryIndex|ContextArtifact|ContextSelectionActivity|IndexVersionReference|Index|IndexVersion","keep","moonweave-ontology-structure-reviewer","accepted"
"info-messages-instructions","消息与会话","会话","info-messages-instructions-cq-conversation-order-v3|info-messages-instructions-cq-message-role-envelope-v3|info-messages-instructions-cq-context-reference-v3","当对象的身份由会话、轮次位置、发送主体、消息角色或包络消息 id 决定时，在此拥有。","提示处理、工具交互或运行追踪需要指出某段信息在哪次发言中出现时，引用消息或轮次身份。","Message","Instruction|ContentBlock","","","info-prompts-instructions|runtime-system|tool-mcp-transport|memory-context","Message|MessageHistory|InstructionMetadata|PromptTemplate|ConversationTurn|SessionLifecycleEvent|SessionStartEvent|ConversationElement|MCPMessage|MCPParticipant|ContextArtifact|ContextPackage","keep","moonweave-ontology-structure-reviewer","accepted"
"info-output-disclosure","输出披露","输出披露活动","info-output-disclosure-cq-visible-fragments-v3|info-output-disclosure-cq-window-application-v3|info-output-disclosure-cq-policy-to-display-v3","当对象的身份由一次 DisclosureActivity、其选择/截断/抑制/发布阶段、面向受众的 DisclosureRecord 或实际显示范围决定时，在此拥有。","安全策略、运行结果或上下文组装需要核对最终显示范围而不重新定义披露活动时，引用这里的决定和记录。","OutputSegment|VisibleContextWindow","DisclosureRecord|DisclosedOutputSegment","DisclosureSuppressionActivity|SuppressedContext","","safety-disclosure-redaction|runtime-artifacts|memory-context","OutputWindow|SuppressedContext|DisclosureRule|ProgressiveDisclosure|DisclosedOutputSegment|DisclosureRecord|ExportArtifact|ReportArtifact|ContextSelectionDecision|ContextPackage|VisibleContextWindow","keep","moonweave-ontology-structure-reviewer","accepted"
"info-prompts-instructions","提示与指令","指令","info-prompts-instructions-cq-template-instantiation-v3|info-prompts-instructions-cq-authority-resolution-v3|info-prompts-instructions-cq-message-carriage-v3","当对象的身份由提示模板或实例化关系，或由指令的规范作用、权威、优先级与作用域决定时，在此拥有。","消息、运行或安全分析需要说明采用了哪个提示实例或哪条已解析指令时，引用这里的规范对象和解决结果。","PromptTemplateInstance","Instruction|InstructionResolution","InstructionConflict","InstructionResolutionActivity","info-messages-instructions|info-content-block-modality|safety-injection-defense","Message|MessageHistory|InstructionMetadata|PromptTemplate|AudioBlock|ImageBlock|InstructionConflictDetectionActivity|InstructionProcessing|InstructionResolution|InstructionConflict|PromptInjectionSignal","split","moonweave-ontology-structure-reviewer","accepted"
"info-storage-sources","来源与定位","来源引用","info-storage-sources-cq-precise-resolution-v3|info-storage-sources-cq-identity-verification-v3|info-storage-sources-cq-reference-versus-referent-v3","当对象的身份是指向其他对象的稳定引用、该引用中的位置范围或用于核对版本的来源身份时，在此拥有。","接入、分块、检索、消息或产物需要说明来源而不取得 referent 所有权时，引用这里的 SourceReference 和 Location。","","","","","memory-ingestion|runtime-artifacts","FileResourceReference|TextDocumentReference|IngestibleResource|TextDocument|ResourceDescriptor|SourceIdentity|GraphArtifact|PatchArtifact","keep","moonweave-ontology-structure-reviewer","accepted"
"memory-chunking-situating","分块与语境化","分块处理活动","memory-chunking-situating-cq-source-reconstruction-v3|memory-chunking-situating-cq-run-parameters-v3|memory-chunking-situating-cq-contextualization-fidelity-v3","当对象的身份由来源跨度、分块运行、语境化派生或压缩活动决定时，在此拥有。","索引、检索或上下文组装使用片段内容但保持来源跨度和派生身份时，引用 Chunk 或 SituatedChunk。","Document|Chunk","Chunk|SituatedChunk","","","memory-ingestion|memory-embedding-indexes|memory-context","Chunk|ChunkingRun|Document|IngestibleResource|ChunkArtifact|EmbeddingRun|EmbeddingVector|ContextArtifact|ContextExclusion","keep","moonweave-ontology-structure-reviewer","accepted"
"memory-context","上下文组装","上下文组装","memory-context-cq-version-membership-v3|memory-context-cq-budget-accounting-v3|memory-context-cq-refresh-versioning-v3","当对象的身份由一次上下文组装、槽位顺序、来源选择、预算裁剪或不可变上下文版本决定时，在此拥有。","消息、运行主体或输出披露需要指出实际使用了哪份上下文而不改变其成员时，引用 ContextPackage 或版本。","MemoryRecord|RetrievedChunk|DiscoveryResult","ContextPackage|ContextWindow|ContextExclusion","","","info-output-disclosure|info-messages-instructions|info-indexing","ContextSelectionDecision|OutputWindow|ContextArtifact|VisibleContextWindow|ConversationTurn|Message|ContextPackage|CandidateRank|DiscoveryResult|ContextSelectionActivity","keep","moonweave-ontology-structure-reviewer","accepted"
"memory-embedding-indexes","表示与索引","表示","memory-embedding-indexes-cq-representation-lineage-v3|memory-embedding-indexes-cq-entry-version-membership-v3|memory-embedding-indexes-cq-refresh-visibility-v3","当对象的身份由表示模型与版本、索引结构、IndexVersion、Shard 或构建刷新运行决定时，在此拥有。","检索读取特定索引版本，或 Chunk 和记忆对象关联到其表示时，引用这里的 IndexVersion、Entry 和 Embedding。","EmbeddingModel|Representation","EmbeddingVector|IndexVersion","","","memory-retrieval-ranking|runtime-actors|memory-stores-scopes","Index|IndexVersion|RetrievalRequest|RetrievalRun|Embedding|EmbeddingRun|EmbeddingModel|Model|VectorDatabase|MemoryRecord|MemoryStore","keep","moonweave-ontology-structure-reviewer","accepted"
"memory-ingestion","记忆接入","摄入运行","memory-ingestion-cq-loader-selection-v3|memory-ingestion-cq-deduplication-decision-v3|memory-ingestion-cq-provenance-chain-v3","当对象的身份由被载入内容、Loader、接入策略或一次去重和规范化运行决定时，在此拥有。","分块、索引或生命周期处理需要追溯内容怎样进入记忆时，引用接入运行、结果和来源附件。","IngestibleResource|DocumentLoader|IngestibleInformation","Document|DocumentMetadata|MemoryRecord","ErrorEvent","","info-storage-sources|memory-stores-scopes|memory-chunking-situating","DatabaseRowReference|TextDocumentReference|IngestibleResource|TextDocument|DocumentLoader|MemoryRecord|MemoryStore|Chunk|ChunkingRun|Document","keep","moonweave-ontology-structure-reviewer","accepted"
"memory-lifecycle","记忆生命周期","记忆操作","memory-lifecycle-cq-version-lineage-v3|memory-lifecycle-cq-expiry-eviction-distinction-v3|memory-lifecycle-cq-consolidation-conflict-v3","当对象的身份由对记忆实体执行的操作、操作原因和策略、输入输出版本或生命周期事件决定时，在此拥有。","存储、检索或审计需要解释某个记忆版本为何存在、失效或被替代时，引用操作和版本血缘。","MemoryRecord|Feedback","MemoryOperationResult|MemoryRecord|MemoryTombstone","ErrorEvent|MemoryConflict","MemoryConsolidation","memory-stores-scopes|feedback-review-optimization","MemoryCompaction|MemoryConflict|MemoryItem|MemoryRecord|Feedback|HumanReview|MemoryUpdate|MemoryWrite","keep","moonweave-ontology-structure-reviewer","accepted"
"memory-retrieval-ranking","检索与排序","检索记录","memory-retrieval-ranking-cq-replay-v3|memory-retrieval-ranking-cq-score-explanation-v3|memory-retrieval-ranking-cq-candidate-result-separation-v3","当对象的身份由持久检索请求、查询条件、索引版本、评分阶段、排名位置或检索结果决定时，在此拥有。","上下文发现或组装消费检索候选和结果而不重算评分管线时，引用这里的 RetrievalResult 与 RetrievalTrace。","IndexVersion","CandidateSet|RetrievalResult","","","info-indexing|memory-embedding-indexes|memory-context","DiscoveryResult|DiscoveryScore|RetrievalScore|RetrievedCandidate|Index|IndexVersion|RetrievalRequest|RetrievalRun|ContextPackage|ContextSlot|RetrievedChunk","keep","moonweave-ontology-structure-reviewer","accepted"
"memory-stores-scopes","记忆对象与存储","记忆实体","memory-stores-scopes-cq-composable-facets-v3|memory-stores-scopes-cq-storage-location-v3|memory-stores-scopes-cq-backend-versus-index-v3","当对象的身份由记忆记录或文件的业务键、Store、Namespace，或可独立组合的记忆分类 facet 决定时，在此拥有。","接入、索引、检索和生命周期操作需要定位记忆对象或存储位置时，引用 MemoryEntity、Store 和 Namespace。","","","","","memory-lifecycle|memory-embedding-indexes","MemoryCompaction|MemoryConflict|MemoryItem|MemoryRecord|IndexActivity|VectorDatabase|MemoryScope|MemoryStore","keep","moonweave-ontology-structure-reviewer","accepted"
"orchestration-actors-delegation","协同角色","协调角色","orchestration-actors-delegation-cq-active-role-bindings-v3|orchestration-actors-delegation-cq-role-not-actor-v3|orchestration-actors-delegation-cq-team-coverage-v3","当对象表达一项可由不同运行主体承担的协作职责，或某主体在给定任务和时段承担该职责的绑定时，在此拥有。","委派、组合或运行追踪需要说明谁以何种协作职责参与时，引用 CoordinationRole 与 ActorRoleBinding，同时保留 Actor 的运行身份。","SubagentRole","AgentAsToolInvocation","","","orchestration-delegation-handoff|tool-invocation-execution|runtime-actors|orchestration-composition","Orchestrator|WorkerRole|DelegationContext|TaskDistribution|AnswerOwnership|AgentAsToolInvocation|ProgrammaticToolCall|CoordinationOwnershipRecord|ActorBinding|ActorRoleBinding|CompositionPart|SectionAssignment","keep","moonweave-ontology-structure-reviewer","accepted"
"orchestration-composition","协作组合","组合模式","orchestration-composition-cq-topology-expansion-v3|orchestration-composition-cq-pattern-validity-v3|orchestration-composition-cq-synthesis-provenance-v3","当对象的身份由框架无关的协作模式、拓扑位置、分支或阶段组成，或聚合综合结构决定时，在此拥有。","路由、执行或框架适配需要说明工作所在的协作拓扑和模式时，引用 CompositionPattern 与组件身份。","VoteBallot","SynthesisOutput|CompositionOutput","","","orchestration-routing-control|orchestration-task-planning|runtime-artifacts","AggregationActivity|CompositionOutput|RoutingCondition|RoutingPolicy|CompositionPart|OrchestrationTopology|TaskCompletionCriterion|TaskPlan|SynthesisInput|SynthesisOutput|ReportArtifact|SchemaArtifact","keep","moonweave-ontology-structure-reviewer","accepted"
"orchestration-delegation-handoff","委派与移交","委派过程","orchestration-delegation-handoff-cq-process-state-v3|orchestration-delegation-handoff-cq-worker-selection-v3|orchestration-delegation-handoff-cq-responsibility-transfer-v3","当对象的身份由一次工作者选择、委派契约、发起接受撤销完成阶段，或控制和责任的转移决定时，在此拥有。","计划、运行、角色或安全范围需要说明一项工作如何被交给另一主体时，引用委派过程和当前契约状态。","DelegationContract|ContextIsolation|DelegationContext|WorkerPool|WorkItem","DelegationResult|WorkerAvailability|WorkerCapabilityMatch|WorkerSelection|Handoff|ResponsibilityTransfer","","","orchestration-actors-delegation|tool-invocation-execution|tool-discovery-selection|runtime-actors","Orchestrator|WorkerRole|DelegationContext|TaskDistribution|DelegationContract|Handoff|AgentAsToolInvocation|ProgrammaticToolCall|WorkerSelection|WorkerSelectionDecisionActivity|PromptSelectionDecision|SelectionDecision|ActorBinding|AgentActor","split","moonweave-ontology-structure-reviewer","accepted"
"orchestration-evaluation","改进循环编排","改进循环","orchestration-evaluation-cq-phase-order-v3|orchestration-evaluation-cq-retry-stop-v3|orchestration-evaluation-cq-content-reference-v3","当对象的身份由改进循环中的阶段位置、评估与修订尝试的调度、重试或停止控制决定时，在此拥有。","评估、审查、优化或运行需要说明某项活动为何在循环中的此时发生时，引用循环、阶段和控制尝试。","RevisionPlan","ReflectionRecord","StopCondition","CorrectionActivity","feedback-review-optimization|feedback-metrics-evaluation|orchestration-routing-control","FeedbackEvent|RevisionPlan|FeedbackRouting|ImprovementAttempt|EvaluationRun|Measurement|EvaluationAttempt|StopRetryLineage|GateCondition|StopCondition","keep","moonweave-ontology-structure-reviewer","accepted"
"orchestration-routing-control","路由与门控","路由规约","orchestration-routing-control-cq-route-decision-v3|orchestration-routing-control-cq-gate-outcome-v3|orchestration-routing-control-cq-retry-stop-v3","当对象的身份由路由规约、条件评估、路径选择、门判定、重试或停止控制决定时，在此拥有。","计划、组合或运行执行需要说明为何选择、阻断、重试或停止某条路径时，引用规约和决定。","GateCondition|RoutingPolicy","GateOutcome|RoutingTarget","RuntimeSession","RetryActivity|RetryPolicy","orchestration-composition|safety-permission-policy|runtime-execution-attempts","AggregationActivity|CompositionPart|Route|RoutingCondition|ControlGate|AuthorizationArtifact|AuthorizationRevocation|RetryPolicy|RetryActivity|RunAttempt","keep","moonweave-ontology-structure-reviewer","accepted"
"orchestration-task-planning","目标与任务规划","工作规约","orchestration-task-planning-cq-goal-realization-v3|orchestration-task-planning-cq-readiness-v3|orchestration-task-planning-cq-definition-versus-attempt-v3","当对象的身份由尚待实现的目标、工作规约、计划分解、任务定义或完成条件决定时，在此拥有。","执行、路由、委派或评估需要说明所实现的目标和任务定义时，引用计划实体而不把运行状态写回定义。","Goal","TaskPlan","","","runtime-execution-attempts|orchestration-routing-control","Task|TaskCompletionCriterion|RunAttempt|RunOutcome|GateCondition|RoutingCondition|TaskCondition","keep","moonweave-ontology-structure-reviewer","accepted"
"runtime-actors","运行参与者与绑定","运行参与主体","runtime-actors-cq-session-participants-v3|runtime-actors-cq-actor-role-separation-v3|runtime-actors-cq-model-binding-provenance-v3","当对象的身份由实际运行参与主体、模型版本，或某会话中主体与能力、模型、资源的绑定决定时，在此拥有。","编排角色、委派、执行、追踪或评估需要指向实际参与者与模型时，引用这里的 Actor、Model 和绑定。","Model","ActorBinding","","","orchestration-actors-delegation|runtime-system|memory-embedding-indexes","CoordinationOwnershipRecord|Orchestrator|ActorBinding|ActorRoleBinding|AgentActor|Model|RuntimeSession|SessionLifecycleEvent|Embedding|EmbeddingRun|EmbeddingModel","keep","moonweave-ontology-structure-reviewer","accepted"
"runtime-artifacts","运行产物","运行产物","runtime-artifacts-cq-provenance-v3|runtime-artifacts-cq-version-identity-v3|runtime-artifacts-cq-status-not-subtype-v3","当对象是运行产生的可独立引用内容，具有稳定 artifact id、来源、摘要或版本，而非临时字段值时，在此拥有。","执行、追踪、评审、导出或存储需要指出其生成、使用或检查的产物时，引用 Artifact 及其具体版本字段。","Artifact","Artifact","","","runtime-observability|runtime-execution-attempts|info-storage-sources|feedback-review-optimization","ExportArtifact|SchemaArtifact|ObservabilityEvent|TraceEvent|RunAttempt|RunResult|NetworkSourceReference|SourceIdentity|PatchArtifact|Correction|ReviewFinding|ReportArtifact","keep","moonweave-ontology-structure-reviewer","accepted"
"runtime-execution-attempts","执行尝试与结果","执行","runtime-execution-attempts-cq-attempt-lineage-v3|runtime-execution-attempts-cq-result-outcome-v3|runtime-execution-attempts-cq-budget-accounting-v3","当对象的身份由某项工作的实际 Execution、尝试序号和血缘、预算消耗、Result 或 Outcome 决定时，在此拥有。","计划、工具、路由、诊断或产物需要说明某个结果在哪次尝试中产生时，引用 Execution、Attempt 和 Result。","Task|ContextPackage|RuntimeEnvironment","RunResult|RunOutcome","BlockingError|RunAttempt","RunAttempt|RetryPolicy","tool-invocation-execution|orchestration-routing-control|feedback-warning-error","RunAttempt|RunOutcome|ToolCallAttempt|ToolResult|RetryPolicy|RoutingCondition|RetryActivity|BlockingError|FailureEvent|RunResult","split","moonweave-ontology-structure-reviewer","accepted"
"runtime-observability","追踪与检查点","可观测记录","runtime-observability-cq-trace-causality-v3|runtime-observability-cq-checkpoint-recovery-v3|runtime-observability-cq-trace-versus-log-v3","当对象的身份由 Trace 或 Span 上下文、运行发生时间、状态快照差异、检查点或回放恢复活动决定时，在此拥有。","日志、诊断、产物或执行分析需要追踪因果、状态或恢复点而不复制运行记录时，引用这里的 Trace 和 Checkpoint。","Checkpoint|TraceRecord","Checkpoint|StateSnapshot|StateDiff","ErrorEvent","RestoreActivity","feedback-logging|runtime-execution-attempts|runtime-system","AuditLog|EventSink|AuditRecord|TelemetryEvent|RunAttempt|RunOutcome|ObservabilityEvent|TraceEvent|Checkpoint|RuntimeSession|SessionPauseEvent","keep","moonweave-ontology-structure-reviewer","accepted"
"runtime-system","运行环境与会话","智能体系统","runtime-system-cq-session-state-v3|runtime-system-cq-environment-binding-v3|runtime-system-cq-session-attempt-membership-v3","当对象的身份由 AgentSystem、实际 RuntimeEnvironment、WorkingDirectory、RuntimeSession 或会话生命周期事件决定时，在此拥有。","执行、追踪、工具或安全范围需要说明活动发生在哪个系统、环境和会话中时，引用这里的运行容器。","SessionStartEvent|SessionResumeEvent|Checkpoint","RuntimeSession|TraceEvent","","SessionResumeEvent|RuntimeSession|Checkpoint","runtime-execution-attempts|safety-sandbox-network","RunAttempt|RuntimeBudget|ProcessHandle|RuntimeEnvironment|Container|ProcessPolicy|Sandbox","keep","moonweave-ontology-structure-reviewer","accepted"
"safety-commit-redaction","副作用提交控制","副作用提交闸门","safety-commit-redaction-cq-gate-decision-v3|safety-commit-redaction-cq-effect-idempotency-v3|safety-commit-redaction-cq-rollback-verification-v3","当对象的身份由一次外部副作用请求、提交门结果、实际 Effect、效果凭证、补偿或回滚活动决定时，在此拥有。","工具、网络、文件或优化流程准备产生不可逆变更时，引用提交请求和门结果；策略范围引用效果凭证进行审计。","CommitRequest|PolicyDecision","CommitApproval|CommitDenial","CommitDenial|SideEffect","RollbackAction","safety-permission-policy|tool-invocation-execution|runtime-observability|safety-disclosure-redaction","CommitApproval|CommitDenial|AllowDecision|PolicyDecision|EffectReceipt|SideEffect|Command|ToolCall|CheckpointActivity|ObservabilityEvent|CommitRequest|Redaction|SensitiveSpan","keep","moonweave-ontology-structure-reviewer","accepted"
"safety-disclosure-redaction","披露与脱敏","披露控制活动","safety-disclosure-redaction-cq-sensitive-span-v3|safety-disclosure-redaction-cq-transformation-integrity-v3|safety-disclosure-redaction-cq-audit-disclosure-v3","当对象的身份由敏感内容跨度、受众与披露规则、安全决定、脱敏算法或其审计证据决定时，在此拥有。","输出披露、日志、记忆或工具结果需要应用或证明安全变换时，引用 SensitiveSpan、Decision 和 Redaction 结果。","SensitiveSpan|OutputWindow","SuppressedOutput|AuditDisclosure","","","info-output-disclosure|info-content-block-modality|feedback-logging|safety-commit-redaction","OutputWindow|SuppressedContext|DisclosureRule|ProgressiveDisclosure|AudioBlock|FileAttachmentBlock|AuditDisclosure|SensitiveSpan|AuditLog|LogSubscription|CommitRequest|EffectReceipt|Redaction","split","moonweave-ontology-structure-reviewer","accepted"
