entity_id,decision,selected_source_ids,rejected_source_ids,rationale,reviewer,status
orchestration-evaluation,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-crewai-docs"",""eng-fw-langgraph-docs"",""lit-agent-conductor""]","[""eng-fw-openai-guardrails"",""eng-fw-openai-tracing"",""lit-mech-reflexion""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
safety-trust-boundary,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-openai-guardrails"",""eng-security-mcp-nsa-2026"",""lit-agent-safeagent""]","[""eng-fw-openai-tracing"",""lit-agent-toolsafe""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
safety-permission-policy,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-openai-guardrails"",""eng-security-mcp-nsa-2026"",""lit-agent-safeagent""]","[""eng-fw-openai-tracing"",""lit-agent-toolsafe""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
safety-sandbox-network,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-openai-guardrails"",""eng-security-mcp-nsa-2026"",""lit-agent-safeagent""]","[""eng-fw-openai-tracing"",""lit-agent-toolsafe""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
safety-injection-defense,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-openai-guardrails"",""eng-security-mcp-nsa-2026"",""lit-agent-safeagent""]","[""eng-fw-openai-tracing"",""lit-agent-toolsafe""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
safety-commit-redaction,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-openai-guardrails"",""eng-security-mcp-nsa-2026"",""lit-agent-safeagent""]","[""eng-fw-openai-tracing"",""lit-agent-toolsafe""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
feedback-warning-error,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-langsmith-docs"",""eng-fw-openai-tracing"",""lit-mech-reflexion"",""lit-mech-self-refine""]","[""eng-fw-openai-guardrails""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
feedback-review-optimization,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-langsmith-docs"",""eng-fw-openai-tracing"",""lit-mech-reflexion"",""lit-mech-self-refine""]","[""eng-fw-openai-guardrails""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
feedback-metrics-evaluation,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-langsmith-docs"",""eng-fw-openai-tracing"",""lit-mech-reflexion"",""lit-mech-self-refine""]","[""eng-fw-openai-guardrails""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
feedback-logging,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-langsmith-docs"",""eng-fw-openai-tracing"",""lit-mech-reflexion"",""lit-mech-self-refine""]","[""eng-fw-openai-guardrails""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
AgentAsToolInvocation,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-crewai-docs"",""eng-fw-langgraph-docs"",""lit-agent-conductor""]","[""eng-fw-deepagents-js-docs"",""eng-fw-openai-handoffs"",""eng-fw-openai-tools""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
AggregationRule,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-crewai-docs"",""eng-fw-langgraph-docs"",""lit-agent-conductor""]","[""eng-fw-crewai-flows"",""eng-fw-langgraph-graph-api"",""lit-mech-self-consistency""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
AllowDecision,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-openai-guardrails"",""lit-agent-safeagent""]","[""eng-fw-openai-tracing"",""eng-security-mcp-nsa-2026"",""lit-agent-toolsafe""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
AnswerOwnership,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-crewai-docs"",""eng-fw-langgraph-docs"",""lit-agent-conductor""]","[""eng-fw-deepagents-js-docs"",""eng-fw-openai-handoffs"",""eng-fw-openai-tools""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
AuditDisclosure,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-openai-guardrails"",""eng-security-mcp-nsa-2026"",""lit-agent-safeagent""]","[""eng-fw-openai-tracing"",""lit-agent-toolsafe""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
AuditLog,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-langsmith-docs"",""eng-fw-openai-tracing"",""lit-mech-reflexion"",""lit-mech-self-refine""]","[""eng-fw-openai-guardrails""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
AuthorityScope,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-openai-guardrails"",""eng-security-mcp-nsa-2026"",""lit-agent-safeagent""]","[""eng-fw-openai-tracing"",""lit-agent-toolsafe""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
AuthorizationGrant,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-openai-guardrails"",""eng-security-mcp-nsa-2026"",""lit-agent-safeagent""]","[""eng-fw-openai-tracing"",""lit-agent-toolsafe""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
AutomatedReview,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-langsmith-docs"",""eng-fw-openai-tracing"",""lit-mech-reflexion"",""lit-mech-self-refine""]","[""eng-fw-openai-guardrails""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
BlockingError,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-langsmith-docs"",""eng-fw-openai-tracing"",""lit-mech-reflexion"",""lit-mech-self-refine""]","[""eng-fw-openai-guardrails""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
BoundaryCrossing,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-openai-guardrails"",""eng-security-mcp-nsa-2026"",""lit-agent-safeagent""]","[""eng-fw-openai-tracing"",""lit-agent-toolsafe""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
BranchCondition,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-crewai-docs"",""eng-fw-langgraph-docs"",""lit-agent-conductor""]","[""eng-fw-langgraph-graph-api"",""eng-fw-openai-orchestration"",""lit-agent-orchestrationbench""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
CapabilityGrant,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-openai-guardrails"",""eng-security-mcp-nsa-2026"",""lit-agent-safeagent""]","[""eng-fw-openai-tracing"",""lit-agent-toolsafe""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
ChainStage,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-crewai-docs"",""eng-fw-langgraph-docs"",""lit-agent-conductor""]","[""eng-fw-crewai-flows"",""eng-fw-langgraph-graph-api"",""lit-mech-self-consistency""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
Chunk,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-langchain-agents"",""lit-mech-compass""]","[""eng-fw-deepagents-js-docs"",""lit-agent-memexrl""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
ChunkingRun,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-langchain-agents"",""lit-mech-compass""]","[""eng-fw-deepagents-js-docs"",""lit-agent-memexrl""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
CommitApproval,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-openai-guardrails"",""eng-security-mcp-nsa-2026"",""lit-agent-safeagent""]","[""eng-fw-openai-tracing"",""lit-agent-toolsafe""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
CommitDenial,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-openai-guardrails"",""eng-security-mcp-nsa-2026"",""lit-agent-safeagent""]","[""eng-fw-openai-tracing"",""lit-agent-toolsafe""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
CommitGate,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-openai-guardrails"",""lit-agent-vigil-siren""]","[""eng-fw-openai-tracing"",""eng-security-mcp-nsa-2026"",""lit-agent-safeagent"",""lit-agent-toolsafe""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
CommitRequest,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-openai-guardrails"",""eng-security-mcp-nsa-2026"",""lit-agent-safeagent""]","[""eng-fw-openai-tracing"",""lit-agent-toolsafe""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
ConfidenceSignal,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-langsmith-docs"",""eng-fw-openai-tracing"",""lit-mech-reflexion"",""lit-mech-self-refine""]","[""eng-fw-openai-guardrails""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
ContextAssembly,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-deepagents-js-docs"",""lit-mech-compass""]","[""eng-fw-langgraph-docs"",""lit-agent-agemem"",""lit-mas-generative-agents""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
ContextBudget,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-deepagents-js-docs"",""lit-agent-memory-as-action"",""lit-mas-generative-agents"",""lit-mech-compass""]","[""eng-fw-langchain-agents""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
ContextExclusion,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-deepagents-js-docs"",""lit-agent-memory-as-action"",""lit-mas-generative-agents"",""lit-mech-compass""]","[""eng-fw-langgraph-docs"",""lit-agent-agemem""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
ContextIsolation,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-crewai-docs"",""eng-fw-langgraph-docs"",""lit-agent-conductor""]","[""eng-fw-deepagents-js-docs"",""eng-fw-openai-handoffs"",""eng-fw-openai-tools""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
ContextOrderingRule,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-deepagents-js-docs"",""lit-agent-memory-as-action"",""lit-mas-generative-agents"",""lit-mech-compass""]","[""eng-fw-langgraph-docs"",""lit-agent-agemem""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
ContextRefreshEvent,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-deepagents-js-docs"",""lit-agent-memory-as-action"",""lit-mas-generative-agents"",""lit-mech-compass""]","[""eng-fw-langgraph-docs"",""lit-agent-agemem""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
ContextSlot,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-deepagents-js-docs"",""lit-agent-memory-as-action"",""lit-mas-generative-agents"",""lit-mech-compass""]","[""eng-fw-langgraph-docs"",""lit-agent-agemem""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
ContextSource,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-deepagents-js-docs"",""lit-agent-memory-as-action"",""lit-mas-generative-agents"",""lit-mech-compass""]","[""eng-fw-langgraph-docs"",""lit-agent-agemem""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
ContextSummary,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-deepagents-js-docs"",""lit-agent-memory-as-action"",""lit-mas-generative-agents"",""lit-mech-compass""]","[""eng-fw-langgraph-docs"",""lit-agent-agemem""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
ContextWindow,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-openai-python-docs"",""lit-mech-compass""]","[""eng-fw-deepagents-js-docs"",""eng-fw-langgraph-docs"",""lit-agent-agemem"",""lit-mas-generative-agents""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
ControlOwnership,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-crewai-docs"",""eng-fw-langgraph-docs"",""lit-agent-conductor""]","[""eng-fw-deepagents-js-docs"",""eng-fw-openai-handoffs"",""eng-fw-openai-tools""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
Correction,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-langsmith-docs"",""eng-fw-openai-tracing"",""lit-mech-reflexion"",""lit-mech-self-refine""]","[""eng-fw-openai-guardrails""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
CostMetric,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-langsmith-docs"",""eng-fw-openai-tracing"",""lit-mech-reflexion"",""lit-mech-self-refine""]","[""eng-fw-openai-guardrails""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
CritiqueArtifact,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-crewai-docs"",""eng-fw-langgraph-docs"",""lit-agent-conductor""]","[""eng-fw-openai-guardrails"",""eng-fw-openai-tracing"",""lit-mech-reflexion""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
DataZone,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-openai-guardrails"",""eng-security-mcp-nsa-2026"",""lit-agent-safeagent""]","[""eng-fw-openai-tracing"",""lit-agent-toolsafe""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
DeduplicationEvent,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-deepagents-js-docs"",""eng-fw-langgraph-docs"",""lit-mas-generative-agents"",""lit-mech-compass""]","[""eng-fw-langchain-agents"",""lit-agent-memexrl""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
DefenseFinding,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-openai-guardrails"",""eng-security-mcp-nsa-2026"",""lit-agent-safeagent""]","[""eng-fw-openai-tracing"",""lit-agent-toolsafe""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
DelegatedAuthority,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-crewai-docs"",""eng-fw-langgraph-docs"",""lit-agent-conductor""]","[""eng-fw-deepagents-js-docs"",""eng-fw-openai-handoffs"",""eng-fw-openai-tools""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
DelegationBudget,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-crewai-docs"",""eng-fw-langgraph-docs"",""lit-agent-conductor""]","[""eng-fw-deepagents-js-docs"",""eng-fw-openai-handoffs"",""eng-fw-openai-tools""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
DelegationContract,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-crewai-docs"",""eng-fw-langgraph-docs"",""lit-agent-conductor""]","[""eng-fw-deepagents-js-docs"",""eng-fw-openai-handoffs"",""eng-fw-openai-tools""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
DelegationEvent,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-crewai-docs"",""eng-fw-langgraph-docs"",""lit-agent-conductor""]","[""eng-fw-deepagents-js-docs"",""eng-fw-openai-handoffs"",""eng-fw-openai-tools""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
DelegationOwnership,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-crewai-docs"",""eng-fw-langgraph-docs"",""lit-agent-conductor""]","[""eng-fw-deepagents-js-docs"",""eng-fw-openai-handoffs"",""eng-fw-openai-tools""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
DelegationResult,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-crewai-docs"",""eng-fw-langgraph-docs"",""lit-agent-conductor""]","[""eng-fw-deepagents-js-docs"",""eng-fw-openai-handoffs"",""eng-fw-openai-tools""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
DeniedNetworkCall,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-openai-guardrails"",""eng-security-mcp-nsa-2026"",""lit-agent-safeagent""]","[""eng-fw-openai-tracing"",""lit-agent-toolsafe""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
DenseVector,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-langchain-agents"",""lit-agent-magma"",""lit-agent-memexrl"",""lit-mech-compass""]","[""lit-agent-ama-bench""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
DenyDecision,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-openai-guardrails"",""lit-agent-safeagent""]","[""eng-fw-openai-tracing"",""eng-security-mcp-nsa-2026"",""lit-agent-toolsafe""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
DiagnosticMessage,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-langsmith-docs"",""eng-fw-openai-tracing"",""lit-mech-reflexion"",""lit-mech-self-refine""]","[""eng-fw-openai-guardrails""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
DisclosureFilter,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-openai-guardrails"",""eng-security-mcp-nsa-2026"",""lit-agent-safeagent""]","[""eng-fw-openai-tracing"",""lit-agent-toolsafe""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
DisclosureRule,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-deepagents-js-docs"",""eng-proto-mcp-spec"",""lit-mech-compass""]","[""eng-fw-openai-guardrails"",""eng-fw-openai-tracing"",""eng-security-mcp-nsa-2026"",""lit-agent-safeagent"",""lit-agent-toolsafe""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
Document,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-langchain-agents"",""lit-mech-compass""]","[""eng-fw-deepagents-js-docs"",""lit-agent-memexrl""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
DocumentLoader,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-deepagents-js-docs"",""eng-fw-langgraph-docs"",""lit-mas-generative-agents"",""lit-mech-compass""]","[""eng-fw-langchain-agents"",""lit-agent-memexrl""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
DocumentMetadata,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-deepagents-js-docs"",""eng-fw-langgraph-docs"",""lit-mas-generative-agents"",""lit-mech-compass""]","[""eng-fw-langchain-agents"",""lit-agent-memexrl""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
DomainSocket,retain canonical record source set and convert it into direct scoped claims,"[""eng-security-mcp-nsa-2026""]","[""eng-fw-openai-guardrails"",""eng-fw-openai-tracing"",""lit-agent-safeagent"",""lit-agent-toolsafe""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
DownstreamOperation,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-crewai-docs"",""eng-fw-langgraph-docs"",""lit-agent-conductor""]","[""eng-fw-langgraph-graph-api"",""eng-fw-openai-orchestration"",""lit-agent-orchestrationbench""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
EmbeddingRun,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-langchain-agents"",""lit-agent-magma"",""lit-agent-memexrl"",""lit-mech-compass""]","[""lit-agent-ama-bench""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
EmbeddingVector,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-langchain-agents"",""lit-agent-magma"",""lit-agent-memexrl"",""lit-mech-compass""]","[""lit-agent-ama-bench""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
ErrorEvent,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-langsmith-docs"",""eng-fw-openai-tracing"",""lit-mech-reflexion"",""lit-mech-self-refine""]","[""eng-fw-openai-guardrails""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
ErrorListener,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-langsmith-docs"",""eng-fw-openai-tracing"",""lit-mech-reflexion"",""lit-mech-self-refine""]","[""eng-fw-openai-guardrails""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
ErrorStream,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-openai-tracing"",""lit-bench-terminal""]","[""eng-fw-langsmith-docs"",""eng-fw-openai-guardrails"",""lit-mech-reflexion"",""lit-mech-self-refine""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
