individual_id,current_class_id,classification,target_node_id,target_field_id,target_example_id,action,rationale,reviewer,status
Individual_adapter_plane,PlaneIndividual,governance_metadata,adapter-plane,,,"merged into Domain status, review, and change metadata","This legacy record represented a navigation/governance node, not an Agent-system instance.",codex-individual-migration-reviewer,accepted
Individual_adapter_protocols,ModuleIndividual,governance_metadata,adapter-protocols,,,"merged into Module status, review, and change metadata",This legacy record represented Module governance metadata rather than a runtime individual.,codex-individual-migration-reviewer,accepted
Individual_adapter_schema_export,ModuleIndividual,governance_metadata,adapter-schema-export,,,"merged into Module status, review, and change metadata",This legacy record represented Module governance metadata rather than a runtime individual.,codex-individual-migration-reviewer,accepted
Individual_adapter_statecharts,ModuleIndividual,governance_metadata,adapter-statecharts,,,"merged into Module status, review, and change metadata",This legacy record represented Module governance metadata rather than a runtime individual.,codex-individual-migration-reviewer,accepted
Individual_feedback_logging,ModuleIndividual,governance_metadata,feedback-logging,,,"merged into Module status, review, and change metadata",This legacy record represented Module governance metadata rather than a runtime individual.,codex-individual-migration-reviewer,accepted
Individual_feedback_metrics_evaluation,ModuleIndividual,governance_metadata,feedback-metrics-evaluation,,,"merged into Module status, review, and change metadata",This legacy record represented Module governance metadata rather than a runtime individual.,codex-individual-migration-reviewer,accepted
Individual_feedback_plane,PlaneIndividual,governance_metadata,feedback-plane,,,"merged into Domain status, review, and change metadata","This legacy record represented a navigation/governance node, not an Agent-system instance.",codex-individual-migration-reviewer,accepted
Individual_feedback_review_optimization,ModuleIndividual,governance_metadata,feedback-review-optimization,,,"merged into Module status, review, and change metadata",This legacy record represented Module governance metadata rather than a runtime individual.,codex-individual-migration-reviewer,accepted
Individual_feedback_warning_error,ModuleIndividual,governance_metadata,feedback-warning-error,,,"merged into Module status, review, and change metadata",This legacy record represented Module governance metadata rather than a runtime individual.,codex-individual-migration-reviewer,accepted
Individual_info_container_command,ModuleIndividual,governance_metadata,info-container-command,,,"merged into Module status, review, and change metadata",This legacy record represented Module governance metadata rather than a runtime individual.,codex-individual-migration-reviewer,accepted
Individual_info_content_block_modality,ModuleIndividual,governance_metadata,info-content-block-modality,,,"merged into Module status, review, and change metadata",This legacy record represented Module governance metadata rather than a runtime individual.,codex-individual-migration-reviewer,accepted
Individual_info_indexing,ModuleIndividual,governance_metadata,info-indexing,,,"merged into Module status, review, and change metadata",This legacy record represented Module governance metadata rather than a runtime individual.,codex-individual-migration-reviewer,accepted
Individual_info_messages_instructions,ModuleIndividual,governance_metadata,info-messages-instructions,,,"merged into Module status, review, and change metadata",This legacy record represented Module governance metadata rather than a runtime individual.,codex-individual-migration-reviewer,accepted
Individual_info_output_disclosure,ModuleIndividual,governance_metadata,info-output-disclosure,,,"merged into Module status, review, and change metadata",This legacy record represented Module governance metadata rather than a runtime individual.,codex-individual-migration-reviewer,accepted
Individual_info_plane,PlaneIndividual,governance_metadata,info-plane,,,"merged into Domain status, review, and change metadata","This legacy record represented a navigation/governance node, not an Agent-system instance.",codex-individual-migration-reviewer,accepted
Individual_info_storage_sources,ModuleIndividual,governance_metadata,info-storage-sources,,,"merged into Module status, review, and change metadata",This legacy record represented Module governance metadata rather than a runtime individual.,codex-individual-migration-reviewer,accepted
Individual_memory_chunking_situating,ModuleIndividual,governance_metadata,memory-chunking-situating,,,"merged into Module status, review, and change metadata",This legacy record represented Module governance metadata rather than a runtime individual.,codex-individual-migration-reviewer,accepted
Individual_memory_context,ModuleIndividual,governance_metadata,memory-context,,,"merged into Module status, review, and change metadata",This legacy record represented Module governance metadata rather than a runtime individual.,codex-individual-migration-reviewer,accepted
Individual_memory_embedding_indexes,ModuleIndividual,governance_metadata,memory-embedding-indexes,,,"merged into Module status, review, and change metadata",This legacy record represented Module governance metadata rather than a runtime individual.,codex-individual-migration-reviewer,accepted
Individual_memory_ingestion,ModuleIndividual,governance_metadata,memory-ingestion,,,"merged into Module status, review, and change metadata",This legacy record represented Module governance metadata rather than a runtime individual.,codex-individual-migration-reviewer,accepted
Individual_memory_lifecycle,ModuleIndividual,governance_metadata,memory-lifecycle,,,"merged into Module status, review, and change metadata",This legacy record represented Module governance metadata rather than a runtime individual.,codex-individual-migration-reviewer,accepted
Individual_memory_plane,PlaneIndividual,governance_metadata,memory-plane,,,"merged into Domain status, review, and change metadata","This legacy record represented a navigation/governance node, not an Agent-system instance.",codex-individual-migration-reviewer,accepted
Individual_memory_retrieval_ranking,ModuleIndividual,governance_metadata,memory-retrieval-ranking,,,"merged into Module status, review, and change metadata",This legacy record represented Module governance metadata rather than a runtime individual.,codex-individual-migration-reviewer,accepted
Individual_memory_stores_scopes,ModuleIndividual,governance_metadata,memory-stores-scopes,,,"merged into Module status, review, and change metadata",This legacy record represented Module governance metadata rather than a runtime individual.,codex-individual-migration-reviewer,accepted
Individual_orchestration_actors_delegation,ModuleIndividual,governance_metadata,orchestration-actors-delegation,,,"merged into Module status, review, and change metadata",This legacy record represented Module governance metadata rather than a runtime individual.,codex-individual-migration-reviewer,accepted
Individual_orchestration_composition,ModuleIndividual,governance_metadata,orchestration-composition,,,"merged into Module status, review, and change metadata",This legacy record represented Module governance metadata rather than a runtime individual.,codex-individual-migration-reviewer,accepted
Individual_orchestration_evaluation,ModuleIndividual,governance_metadata,orchestration-evaluation,,,"merged into Module status, review, and change metadata",This legacy record represented Module governance metadata rather than a runtime individual.,codex-individual-migration-reviewer,accepted
Individual_orchestration_plane,PlaneIndividual,governance_metadata,orchestration-plane,,,"merged into Domain status, review, and change metadata","This legacy record represented a navigation/governance node, not an Agent-system instance.",codex-individual-migration-reviewer,accepted
Individual_orchestration_routing_control,ModuleIndividual,governance_metadata,orchestration-routing-control,,,"merged into Module status, review, and change metadata",This legacy record represented Module governance metadata rather than a runtime individual.,codex-individual-migration-reviewer,accepted
Individual_orchestration_task_planning,ModuleIndividual,governance_metadata,orchestration-task-planning,,,"merged into Module status, review, and change metadata",This legacy record represented Module governance metadata rather than a runtime individual.,codex-individual-migration-reviewer,accepted
Individual_runtime_actors,ModuleIndividual,governance_metadata,runtime-actors,,,"merged into Module status, review, and change metadata",This legacy record represented Module governance metadata rather than a runtime individual.,codex-individual-migration-reviewer,accepted
Individual_runtime_artifacts,ModuleIndividual,governance_metadata,runtime-artifacts,,,"merged into Module status, review, and change metadata",This legacy record represented Module governance metadata rather than a runtime individual.,codex-individual-migration-reviewer,accepted
Individual_runtime_observability,ModuleIndividual,governance_metadata,runtime-observability,,,"merged into Module status, review, and change metadata",This legacy record represented Module governance metadata rather than a runtime individual.,codex-individual-migration-reviewer,accepted
Individual_runtime_plane,PlaneIndividual,governance_metadata,runtime-plane,,,"merged into Domain status, review, and change metadata","This legacy record represented a navigation/governance node, not an Agent-system instance.",codex-individual-migration-reviewer,accepted
Individual_runtime_system,ModuleIndividual,governance_metadata,runtime-system,,,"merged into Module status, review, and change metadata",This legacy record represented Module governance metadata rather than a runtime individual.,codex-individual-migration-reviewer,accepted
Individual_safety_commit_redaction,ModuleIndividual,governance_metadata,safety-commit-redaction,,,"merged into Module status, review, and change metadata",This legacy record represented Module governance metadata rather than a runtime individual.,codex-individual-migration-reviewer,accepted
Individual_safety_injection_defense,ModuleIndividual,governance_metadata,safety-injection-defense,,,"merged into Module status, review, and change metadata",This legacy record represented Module governance metadata rather than a runtime individual.,codex-individual-migration-reviewer,accepted
Individual_safety_permission_policy,ModuleIndividual,governance_metadata,safety-permission-policy,,,"merged into Module status, review, and change metadata",This legacy record represented Module governance metadata rather than a runtime individual.,codex-individual-migration-reviewer,accepted
Individual_safety_plane,PlaneIndividual,governance_metadata,safety-plane,,,"merged into Domain status, review, and change metadata","This legacy record represented a navigation/governance node, not an Agent-system instance.",codex-individual-migration-reviewer,accepted
Individual_safety_sandbox_network,ModuleIndividual,governance_metadata,safety-sandbox-network,,,"merged into Module status, review, and change metadata",This legacy record represented Module governance metadata rather than a runtime individual.,codex-individual-migration-reviewer,accepted
Individual_safety_trust_boundary,ModuleIndividual,governance_metadata,safety-trust-boundary,,,"merged into Module status, review, and change metadata",This legacy record represented Module governance metadata rather than a runtime individual.,codex-individual-migration-reviewer,accepted
Individual_tool_discovery_selection,ModuleIndividual,governance_metadata,tool-discovery-selection,,,"merged into Module status, review, and change metadata",This legacy record represented Module governance metadata rather than a runtime individual.,codex-individual-migration-reviewer,accepted
Individual_tool_invocation_execution,ModuleIndividual,governance_metadata,tool-invocation-execution,,,"merged into Module status, review, and change metadata",This legacy record represented Module governance metadata rather than a runtime individual.,codex-individual-migration-reviewer,accepted
Individual_tool_mcp_transport,ModuleIndividual,governance_metadata,tool-mcp-transport,,,"merged into Module status, review, and change metadata",This legacy record represented Module governance metadata rather than a runtime individual.,codex-individual-migration-reviewer,accepted
Individual_tool_plane,PlaneIndividual,governance_metadata,tool-plane,,,"merged into Domain status, review, and change metadata","This legacy record represented a navigation/governance node, not an Agent-system instance.",codex-individual-migration-reviewer,accepted
Individual_tool_registry_definition,ModuleIndividual,governance_metadata,tool-registry-definition,,,"merged into Module status, review, and change metadata",This legacy record represented Module governance metadata rather than a runtime individual.,codex-individual-migration-reviewer,accepted
RiskCritical,RiskLevel,controlled_value,DefenseFinding,risk_level,,attached to DefenseFinding.risk_level.allowed_values,"The record denotes a reusable enumerated value, not a separately navigable Concept or ABox individual.",codex-individual-migration-reviewer,accepted
RiskHigh,RiskLevel,controlled_value,DefenseFinding,risk_level,,attached to DefenseFinding.risk_level.allowed_values,"The record denotes a reusable enumerated value, not a separately navigable Concept or ABox individual.",codex-individual-migration-reviewer,accepted
RiskLow,RiskLevel,controlled_value,DefenseFinding,risk_level,,attached to DefenseFinding.risk_level.allowed_values,"The record denotes a reusable enumerated value, not a separately navigable Concept or ABox individual.",codex-individual-migration-reviewer,accepted
RiskMedium,RiskLevel,controlled_value,DefenseFinding,risk_level,,attached to DefenseFinding.risk_level.allowed_values,"The record denotes a reusable enumerated value, not a separately navigable Concept or ABox individual.",codex-individual-migration-reviewer,accepted
StatusBlocked,Status,controlled_value,RunAttempt,status,,attached to RunAttempt.status.allowed_values,"The record denotes a reusable enumerated value, not a separately navigable Concept or ABox individual.",codex-individual-migration-reviewer,accepted
StatusCompleted,Status,controlled_value,RunAttempt,status,,attached to RunAttempt.status.allowed_values,"The record denotes a reusable enumerated value, not a separately navigable Concept or ABox individual.",codex-individual-migration-reviewer,accepted
StatusFailed,Status,controlled_value,RunAttempt,status,,attached to RunAttempt.status.allowed_values,"The record denotes a reusable enumerated value, not a separately navigable Concept or ABox individual.",codex-individual-migration-reviewer,accepted
StatusPaused,Status,controlled_value,RunAttempt,status,,attached to RunAttempt.status.allowed_values,"The record denotes a reusable enumerated value, not a separately navigable Concept or ABox individual.",codex-individual-migration-reviewer,accepted
StatusReady,Status,controlled_value,RunAttempt,status,,attached to RunAttempt.status.allowed_values,"The record denotes a reusable enumerated value, not a separately navigable Concept or ABox individual.",codex-individual-migration-reviewer,accepted
StatusRunning,Status,controlled_value,RunAttempt,status,,attached to RunAttempt.status.allowed_values,"The record denotes a reusable enumerated value, not a separately navigable Concept or ABox individual.",codex-individual-migration-reviewer,accepted
TransportHttp,TransportKind,controlled_value,MCPTransport,transport_kind,,attached to MCPTransport.transport_kind.allowed_values,"The record denotes a reusable enumerated value, not a separately navigable Concept or ABox individual.",codex-individual-migration-reviewer,accepted
TransportSse,TransportKind,controlled_value,MCPTransport,transport_kind,,attached to MCPTransport.transport_kind.allowed_values,"The record denotes a reusable enumerated value, not a separately navigable Concept or ABox individual.",codex-individual-migration-reviewer,accepted
TransportStdio,TransportKind,controlled_value,MCPTransport,transport_kind,,attached to MCPTransport.transport_kind.allowed_values,"The record denotes a reusable enumerated value, not a separately navigable Concept or ABox individual.",codex-individual-migration-reviewer,accepted
TransportWebSocket,TransportKind,controlled_value,MCPTransport,transport_kind,,attached to MCPTransport.transport_kind.allowed_values,"The record denotes a reusable enumerated value, not a separately navigable Concept or ABox individual.",codex-individual-migration-reviewer,accepted
VisibilityPrivate,Visibility,controlled_value,Artifact,visibility,,attached to Artifact.visibility.allowed_values,"The record denotes a reusable enumerated value, not a separately navigable Concept or ABox individual.",codex-individual-migration-reviewer,accepted
VisibilityPublic,Visibility,controlled_value,Artifact,visibility,,attached to Artifact.visibility.allowed_values,"The record denotes a reusable enumerated value, not a separately navigable Concept or ABox individual.",codex-individual-migration-reviewer,accepted
VisibilitySession,Visibility,controlled_value,Artifact,visibility,,attached to Artifact.visibility.allowed_values,"The record denotes a reusable enumerated value, not a separately navigable Concept or ABox individual.",codex-individual-migration-reviewer,accepted
VisibilityUser,Visibility,controlled_value,Artifact,visibility,,attached to Artifact.visibility.allowed_values,"The record denotes a reusable enumerated value, not a separately navigable Concept or ABox individual.",codex-individual-migration-reviewer,accepted
